,Percentile_10,Percentile_20,Percentile_30,Percentile_40,Percentile_50,Percentile_60,Percentile_70,Percentile_80,Percentile_90,Percentile_95,Percentile_99
Total,"Cov: 42.42%
Acc: 27.74%
Miss: 2.16%","Cov: 60.69%
Acc: 26.05%
Miss: 2.79%","Cov: 66.25%
Acc: 25.51%
Miss: 2.95%","Cov: 75.86%
Acc: 27.16%
Miss: 2.43%","Cov: 81.75%
Acc: 26.85%
Miss: 2.81%","Cov: 86.18%
Acc: 26.56%
Miss: 2.42%","Cov: 90.08%
Acc: 26.02%
Miss: 1.98%","Cov: 93.28%
Acc: 25.70%
Miss: 1.76%","Cov: 96.69%
Acc: 25.39%
Miss: 0.98%","Cov: 97.49%
Acc: 25.25%
Miss: 1.03%","Cov: 97.69%
Acc: 25.21%
Miss: 1.07%"
Class_0,"Cov: 44.81%
Acc: 25.64%
Miss: 3.79%","Cov: 62.06%
Acc: 19.29%
Miss: 1.74%","Cov: 67.88%
Acc: 18.29%
Miss: 1.56%","Cov: 76.95%
Acc: 16.31%
Miss: 1.09%","Cov: 83.06%
Acc: 15.33%
Miss: 1.01%","Cov: 86.99%
Acc: 14.84%
Miss: 0.65%","Cov: 90.92%
Acc: 14.41%
Miss: 0.62%","Cov: 94.14%
Acc: 14.44%
Miss: 0.80%","Cov: 97.27%
Acc: 14.38%
Miss: 0.46%","Cov: 97.85%
Acc: 14.42%
Miss: 0.55%","Cov: 97.96%
Acc: 14.45%
Miss: 0.62%"
Class_1,"Cov: 41.52%
Acc: 40.64%
Miss: 0.00%","Cov: 52.10%
Acc: 32.61%
Miss: 0.00%","Cov: 55.79%
Acc: 32.07%
Miss: 0.00%","Cov: 59.53%
Acc: 30.29%
Miss: 0.00%","Cov: 67.36%
Acc: 32.54%
Miss: 0.00%","Cov: 78.08%
Acc: 39.15%
Miss: 0.00%","Cov: 82.86%
Acc: 39.90%
Miss: 0.00%","Cov: 87.04%
Acc: 40.77%
Miss: 0.00%","Cov: 94.08%
Acc: 44.11%
Miss: 0.00%","Cov: 94.55%
Acc: 43.89%
Miss: 0.00%","Cov: 94.64%
Acc: 43.85%
Miss: 0.00%"
Class_2,"Cov: 42.57%
Acc: 26.05%
Miss: 6.38%","Cov: 58.55%
Acc: 20.45%
Miss: 5.23%","Cov: 64.23%
Acc: 18.91%
Miss: 4.01%","Cov: 70.08%
Acc: 17.47%
Miss: 2.97%","Cov: 76.40%
Acc: 16.75%
Miss: 3.44%","Cov: 81.33%
Acc: 16.16%
Miss: 2.97%","Cov: 85.74%
Acc: 15.82%
Miss: 2.53%","Cov: 89.46%
Acc: 15.77%
Miss: 3.02%","Cov: 93.71%
Acc: 15.39%
Miss: 1.98%","Cov: 95.17%
Acc: 15.43%
Miss: 3.31%","Cov: 95.60%
Acc: 15.41%
Miss: 3.56%"
Class_3,"Cov: 45.94%
Acc: 9.88%
Miss: 0.22%","Cov: 66.16%
Acc: 13.80%
Miss: 4.08%","Cov: 72.25%
Acc: 13.07%
Miss: 4.57%","Cov: 79.12%
Acc: 11.98%
Miss: 3.43%","Cov: 84.34%
Acc: 11.52%
Miss: 4.48%","Cov: 88.24%
Acc: 11.15%
Miss: 4.01%","Cov: 92.01%
Acc: 10.73%
Miss: 2.78%","Cov: 94.70%
Acc: 10.47%
Miss: 2.01%","Cov: 97.60%
Acc: 10.15%
Miss: 0.62%","Cov: 98.16%
Acc: 10.10%
Miss: 0.55%","Cov: 98.33%
Acc: 10.08%
Miss: 0.54%"
Class_4,"Cov: 49.96%
Acc: 22.91%
Miss: 2.43%","Cov: 66.84%
Acc: 17.88%
Miss: 1.71%","Cov: 72.43%
Acc: 16.64%
Miss: 1.24%","Cov: 79.95%
Acc: 15.51%
Miss: 1.04%","Cov: 85.85%
Acc: 14.65%
Miss: 0.92%","Cov: 90.18%
Acc: 14.94%
Miss: 0.66%","Cov: 93.58%
Acc: 15.07%
Miss: 0.96%","Cov: 96.09%
Acc: 14.73%
Miss: 0.57%","Cov: 98.59%
Acc: 14.62%
Miss: 0.18%","Cov: 99.00%
Acc: 14.69%
Miss: 0.32%","Cov: 99.07%
Acc: 14.69%
Miss: 0.38%"
Class_5,"Cov: 50.27%
Acc: 18.54%
Miss: 1.19%","Cov: 68.71%
Acc: 16.59%
Miss: 1.37%","Cov: 73.98%
Acc: 15.80%
Miss: 1.35%","Cov: 78.60%
Acc: 15.21%
Miss: 1.50%","Cov: 83.01%
Acc: 15.56%
Miss: 3.83%","Cov: 86.91%
Acc: 15.25%
Miss: 4.04%","Cov: 89.73%
Acc: 15.07%
Miss: 3.71%","Cov: 92.31%
Acc: 14.72%
Miss: 3.65%","Cov: 95.36%
Acc: 14.32%
Miss: 2.72%","Cov: 96.18%
Acc: 14.19%
Miss: 2.22%","Cov: 96.53%
Acc: 14.14%
Miss: 2.07%"
Class_6,"Cov: 41.93%
Acc: 60.04%
Miss: 0.00%","Cov: 58.29%
Acc: 47.66%
Miss: 0.00%","Cov: 62.28%
Acc: 45.66%
Miss: 0.00%","Cov: 85.19%
Acc: 56.18%
Miss: 0.17%","Cov: 90.75%
Acc: 56.03%
Miss: 0.68%","Cov: 93.22%
Acc: 54.73%
Miss: 0.45%","Cov: 96.07%
Acc: 53.83%
Miss: 0.27%","Cov: 97.84%
Acc: 53.75%
Miss: 0.54%","Cov: 99.25%
Acc: 53.01%
Miss: 0.22%","Cov: 99.30%
Acc: 52.99%
Miss: 0.25%","Cov: 99.31%
Acc: 52.98%
Miss: 0.35%"
Class_7,"Cov: 40.95%
Acc: 18.51%
Miss: 0.38%","Cov: 59.00%
Acc: 22.76%
Miss: 11.62%","Cov: 64.33%
Acc: 21.38%
Miss: 12.33%","Cov: 70.63%
Acc: 19.51%
Miss: 8.62%","Cov: 76.18%
Acc: 18.32%
Miss: 7.12%","Cov: 81.35%
Acc: 17.33%
Miss: 5.25%","Cov: 86.04%
Acc: 16.39%
Miss: 3.03%","Cov: 90.26%
Acc: 15.70%
Miss: 1.81%","Cov: 95.77%
Acc: 15.39%
Miss: 0.81%","Cov: 97.11%
Acc: 15.44%
Miss: 1.46%","Cov: 97.32%
Acc: 15.41%
Miss: 1.71%"
Class_8,"Cov: 46.98%
Acc: 19.24%
Miss: 4.48%","Cov: 64.50%
Acc: 14.33%
Miss: 2.35%","Cov: 70.07%
Acc: 13.25%
Miss: 1.88%","Cov: 77.12%
Acc: 13.04%
Miss: 2.71%","Cov: 81.14%
Acc: 12.81%
Miss: 5.60%","Cov: 85.86%
Acc: 12.24%
Miss: 4.75%","Cov: 90.64%
Acc: 11.67%
Miss: 2.75%","Cov: 94.00%
Acc: 11.34%
Miss: 2.00%","Cov: 97.20%
Acc: 10.97%
Miss: 0.59%","Cov: 98.08%
Acc: 10.89%
Miss: 0.52%","Cov: 98.31%
Acc: 10.86%
Miss: 0.54%"
