,Percentile_10,Percentile_20,Percentile_30,Percentile_40,Percentile_50,Percentile_60,Percentile_70,Percentile_80,Percentile_90,Percentile_95,Percentile_99
Total,"Cov: 12.26%
Acc: 80.26%
Miss: 0.13%","Cov: 21.64%
Acc: 81.49%
Miss: 0.17%","Cov: 32.73%
Acc: 82.60%
Miss: 0.35%","Cov: 44.46%
Acc: 81.24%
Miss: 0.55%","Cov: 56.08%
Acc: 79.94%
Miss: 0.80%","Cov: 67.46%
Acc: 77.55%
Miss: 0.79%","Cov: 78.51%
Acc: 75.01%
Miss: 0.70%","Cov: 90.53%
Acc: 72.61%
Miss: 0.62%","Cov: 97.13%
Acc: 70.75%
Miss: 0.29%","Cov: 98.89%
Acc: 70.23%
Miss: 0.22%","Cov: 99.96%
Acc: 70.09%
Miss: 0.01%"
Class_0,"Cov: 20.58%
Acc: 84.76%
Miss: 1.26%","Cov: 28.50%
Acc: 76.82%
Miss: 0.72%","Cov: 37.39%
Acc: 74.87%
Miss: 0.72%","Cov: 50.96%
Acc: 73.82%
Miss: 0.96%","Cov: 61.49%
Acc: 70.94%
Miss: 0.69%","Cov: 70.62%
Acc: 67.29%
Miss: 0.27%","Cov: 83.83%
Acc: 66.56%
Miss: 0.30%","Cov: 91.74%
Acc: 64.20%
Miss: 0.15%","Cov: 98.41%
Acc: 63.63%
Miss: 0.20%","Cov: 99.52%
Acc: 63.14%
Miss: 0.22%","Cov: 99.97%
Acc: 62.90%
Miss: 0.01%"
Class_1,"Cov: 10.52%
Acc: 57.45%
Miss: 0.00%","Cov: 16.27%
Acc: 63.94%
Miss: 0.00%","Cov: 36.15%
Acc: 79.78%
Miss: 0.00%","Cov: 46.82%
Acc: 79.95%
Miss: 0.00%","Cov: 59.94%
Acc: 81.11%
Miss: 0.01%","Cov: 70.99%
Acc: 79.39%
Miss: 0.01%","Cov: 81.06%
Acc: 77.18%
Miss: 0.06%","Cov: 92.37%
Acc: 74.82%
Miss: 0.84%","Cov: 97.45%
Acc: 72.55%
Miss: 0.40%","Cov: 99.17%
Acc: 72.08%
Miss: 0.27%","Cov: 99.96%
Acc: 71.71%
Miss: 0.00%"
Class_2,"Cov: 12.65%
Acc: 76.12%
Miss: 0.31%","Cov: 20.46%
Acc: 70.69%
Miss: 0.31%","Cov: 35.57%
Acc: 75.56%
Miss: 0.66%","Cov: 48.52%
Acc: 74.04%
Miss: 0.42%","Cov: 59.17%
Acc: 71.94%
Miss: 0.41%","Cov: 73.68%
Acc: 70.65%
Miss: 1.37%","Cov: 82.08%
Acc: 66.41%
Miss: 0.92%","Cov: 91.42%
Acc: 61.63%
Miss: 0.72%","Cov: 97.74%
Acc: 58.86%
Miss: 0.62%","Cov: 99.35%
Acc: 58.18%
Miss: 0.32%","Cov: 99.97%
Acc: 57.77%
Miss: 0.00%"
Class_3,"Cov: 10.02%
Acc: 69.76%
Miss: 0.08%","Cov: 20.68%
Acc: 75.57%
Miss: 0.21%","Cov: 31.22%
Acc: 76.04%
Miss: 0.46%","Cov: 41.32%
Acc: 71.25%
Miss: 0.52%","Cov: 52.17%
Acc: 68.39%
Miss: 0.95%","Cov: 64.07%
Acc: 64.26%
Miss: 1.19%","Cov: 75.45%
Acc: 58.83%
Miss: 0.49%","Cov: 89.77%
Acc: 56.18%
Miss: 1.68%","Cov: 96.92%
Acc: 52.90%
Miss: 0.31%","Cov: 98.97%
Acc: 52.21%
Miss: 0.27%","Cov: 99.89%
Acc: 51.86%
Miss: 0.00%"
Class_4,"Cov: 15.98%
Acc: 55.37%
Miss: 0.05%","Cov: 28.98%
Acc: 63.48%
Miss: 0.48%","Cov: 35.89%
Acc: 61.06%
Miss: 0.50%","Cov: 47.80%
Acc: 61.40%
Miss: 0.27%","Cov: 55.33%
Acc: 59.28%
Miss: 0.05%","Cov: 69.79%
Acc: 61.24%
Miss: 0.05%","Cov: 82.74%
Acc: 61.26%
Miss: 0.13%","Cov: 91.74%
Acc: 58.27%
Miss: 0.10%","Cov: 98.14%
Acc: 57.46%
Miss: 0.28%","Cov: 99.32%
Acc: 57.04%
Miss: 0.31%","Cov: 99.96%
Acc: 56.70%
Miss: 0.00%"
Class_5,"Cov: 11.68%
Acc: 75.01%
Miss: 0.05%","Cov: 22.43%
Acc: 78.72%
Miss: 0.03%","Cov: 32.25%
Acc: 78.57%
Miss: 0.05%","Cov: 41.68%
Acc: 74.20%
Miss: 0.03%","Cov: 58.50%
Acc: 75.02%
Miss: 0.18%","Cov: 68.89%
Acc: 71.55%
Miss: 0.08%","Cov: 83.81%
Acc: 71.21%
Miss: 0.38%","Cov: 92.81%
Acc: 67.76%
Miss: 0.27%","Cov: 97.96%
Acc: 66.10%
Miss: 0.19%","Cov: 99.38%
Acc: 65.76%
Miss: 0.22%","Cov: 99.95%
Acc: 65.50%
Miss: 0.00%"
Class_6,"Cov: 13.76%
Acc: 96.48%
Miss: 0.00%","Cov: 23.09%
Acc: 96.85%
Miss: 0.00%","Cov: 27.01%
Acc: 96.64%
Miss: 0.00%","Cov: 32.91%
Acc: 96.33%
Miss: 0.00%","Cov: 48.06%
Acc: 96.30%
Miss: 0.00%","Cov: 54.29%
Acc: 95.42%
Miss: 0.00%","Cov: 63.57%
Acc: 94.57%
Miss: 0.00%","Cov: 86.16%
Acc: 94.73%
Miss: 0.00%","Cov: 92.98%
Acc: 94.17%
Miss: 0.00%","Cov: 95.41%
Acc: 94.01%
Miss: 0.00%","Cov: 99.96%
Acc: 94.20%
Miss: 0.00%"
Class_7,"Cov: 4.78%
Acc: 52.21%
Miss: 0.04%","Cov: 11.72%
Acc: 64.39%
Miss: 0.05%","Cov: 27.47%
Acc: 78.13%
Miss: 0.11%","Cov: 43.11%
Acc: 78.06%
Miss: 0.18%","Cov: 53.25%
Acc: 75.73%
Miss: 0.30%","Cov: 65.11%
Acc: 73.01%
Miss: 0.39%","Cov: 76.75%
Acc: 69.67%
Miss: 0.17%","Cov: 90.28%
Acc: 67.95%
Miss: 0.15%","Cov: 97.58%
Acc: 67.17%
Miss: 0.15%","Cov: 99.40%
Acc: 66.90%
Miss: 0.16%","Cov: 99.97%
Acc: 66.69%
Miss: 0.00%"
Class_8,"Cov: 15.92%
Acc: 77.27%
Miss: 0.15%","Cov: 29.58%
Acc: 81.83%
Miss: 0.37%","Cov: 37.44%
Acc: 79.90%
Miss: 0.45%","Cov: 49.75%
Acc: 77.74%
Miss: 1.38%","Cov: 56.69%
Acc: 71.76%
Miss: 1.28%","Cov: 66.52%
Acc: 66.09%
Miss: 1.28%","Cov: 78.43%
Acc: 61.78%
Miss: 1.79%","Cov: 90.26%
Acc: 56.77%
Miss: 1.43%","Cov: 97.37%
Acc: 53.64%
Miss: 0.69%","Cov: 99.20%
Acc: 52.73%
Miss: 0.44%","Cov: 99.87%
Acc: 52.43%
Miss: 0.07%"
