,Percentile_1,Percentile_5,Percentile_10,Percentile_20,Percentile_30,Percentile_40,Percentile_50,Percentile_60,Percentile_70,Percentile_80,Percentile_90,Percentile_95,Percentile_99
Total,"Cov: 8.81 ± 0.03%
Acc: 85.52 ± 0.37%
Miss: 0.00 ± 0.00%","Cov: 13.52 ± 0.04%
Acc: 81.67 ± 1.01%
Miss: 0.00 ± 0.00%","Cov: 16.59 ± 0.05%
Acc: 81.92 ± 0.80%
Miss: 0.12 ± 0.01%","Cov: 23.41 ± 0.05%
Acc: 83.67 ± 0.46%
Miss: 0.25 ± 0.01%","Cov: 33.70 ± 0.06%
Acc: 85.30 ± 0.33%
Miss: 0.23 ± 0.01%","Cov: 43.35 ± 0.06%
Acc: 85.99 ± 0.23%
Miss: 0.25 ± 0.01%","Cov: 53.66 ± 0.06%
Acc: 86.17 ± 0.14%
Miss: 0.26 ± 0.01%","Cov: 63.81 ± 0.06%
Acc: 85.65 ± 0.08%
Miss: 0.29 ± 0.01%","Cov: 74.97 ± 0.06%
Acc: 83.97 ± 0.06%
Miss: 0.34 ± 0.01%","Cov: 86.85 ± 0.05%
Acc: 81.25 ± 0.06%
Miss: 0.32 ± 0.01%","Cov: 96.07 ± 0.03%
Acc: 78.73 ± 0.05%
Miss: 0.19 ± 0.01%","Cov: 99.09 ± 0.01%
Acc: 77.90 ± 0.05%
Miss: 0.11 ± 0.01%","Cov: 99.98 ± 0.00%
Acc: 77.68 ± 0.05%
Miss: 0.00 ± 0.00%"
Class_0,"Cov: 6.65 ± 0.10%
Acc: 64.66 ± 1.32%
Miss: 0.00 ± 0.00%","Cov: 10.34 ± 0.11%
Acc: 57.85 ± 0.84%
Miss: 0.00 ± 0.00%","Cov: 15.59 ± 0.13%
Acc: 65.00 ± 0.70%
Miss: 0.34 ± 0.03%","Cov: 23.68 ± 0.18%
Acc: 71.63 ± 0.50%
Miss: 1.03 ± 0.07%","Cov: 34.25 ± 0.21%
Acc: 73.08 ± 0.40%
Miss: 0.56 ± 0.06%","Cov: 44.50 ± 0.17%
Acc: 75.46 ± 0.42%
Miss: 0.50 ± 0.04%","Cov: 54.26 ± 0.22%
Acc: 76.33 ± 0.35%
Miss: 0.42 ± 0.04%","Cov: 64.93 ± 0.21%
Acc: 76.40 ± 0.33%
Miss: 0.37 ± 0.04%","Cov: 77.20 ± 0.18%
Acc: 75.38 ± 0.33%
Miss: 0.21 ± 0.03%","Cov: 88.36 ± 0.15%
Acc: 73.19 ± 0.32%
Miss: 0.04 ± 0.01%","Cov: 97.24 ± 0.08%
Acc: 71.74 ± 0.27%
Miss: 0.06 ± 0.02%","Cov: 99.43 ± 0.03%
Acc: 71.01 ± 0.28%
Miss: 0.06 ± 0.02%","Cov: 99.98 ± 0.01%
Acc: 70.73 ± 0.28%
Miss: 0.00 ± 0.00%"
Class_1,"Cov: 16.64 ± 0.12%
Acc: 75.51 ± 2.90%
Miss: 0.00 ± 0.00%","Cov: 36.13 ± 0.18%
Acc: 70.68 ± 5.63%
Miss: 0.00 ± 0.00%","Cov: 38.28 ± 0.40%
Acc: 68.75 ± 5.10%
Miss: 0.00 ± 0.00%","Cov: 39.67 ± 0.41%
Acc: 73.41 ± 4.10%
Miss: 0.00 ± 0.00%","Cov: 40.36 ± 0.41%
Acc: 72.40 ± 4.02%
Miss: 0.00 ± 0.00%","Cov: 51.65 ± 0.22%
Acc: 77.89 ± 2.89%
Miss: 0.00 ± 0.00%","Cov: 57.33 ± 0.21%
Acc: 80.78 ± 1.93%
Miss: 0.00 ± 0.00%","Cov: 65.82 ± 0.21%
Acc: 82.13 ± 1.04%
Miss: 0.00 ± 0.00%","Cov: 77.80 ± 0.18%
Acc: 81.90 ± 0.49%
Miss: 0.02 ± 0.01%","Cov: 90.43 ± 0.11%
Acc: 80.40 ± 0.42%
Miss: 0.04 ± 0.01%","Cov: 97.40 ± 0.08%
Acc: 78.66 ± 0.32%
Miss: 0.22 ± 0.03%","Cov: 99.36 ± 0.04%
Acc: 77.71 ± 0.20%
Miss: 0.13 ± 0.01%","Cov: 99.96 ± 0.01%
Acc: 77.43 ± 0.21%
Miss: 0.00 ± 0.00%"
Class_2,"Cov: 6.88 ± 0.13%
Acc: 63.64 ± 1.23%
Miss: 0.00 ± 0.00%","Cov: 10.63 ± 0.16%
Acc: 60.56 ± 1.01%
Miss: 0.00 ± 0.00%","Cov: 13.09 ± 0.21%
Acc: 65.65 ± 0.92%
Miss: 0.51 ± 0.05%","Cov: 24.02 ± 0.26%
Acc: 71.10 ± 0.75%
Miss: 0.81 ± 0.07%","Cov: 34.03 ± 0.32%
Acc: 74.57 ± 0.51%
Miss: 0.63 ± 0.06%","Cov: 44.50 ± 0.31%
Acc: 77.79 ± 0.43%
Miss: 0.67 ± 0.06%","Cov: 55.74 ± 0.29%
Acc: 78.76 ± 0.34%
Miss: 0.56 ± 0.06%","Cov: 65.43 ± 0.30%
Acc: 78.01 ± 0.36%
Miss: 0.42 ± 0.05%","Cov: 77.21 ± 0.28%
Acc: 76.02 ± 0.34%
Miss: 0.78 ± 0.06%","Cov: 88.01 ± 0.21%
Acc: 71.29 ± 0.33%
Miss: 0.95 ± 0.06%","Cov: 96.74 ± 0.12%
Acc: 66.80 ± 0.35%
Miss: 0.67 ± 0.05%","Cov: 99.26 ± 0.06%
Acc: 65.32 ± 0.33%
Miss: 0.32 ± 0.04%","Cov: 99.99 ± 0.01%
Acc: 65.00 ± 0.34%
Miss: 0.00 ± 0.00%"
Class_3,"Cov: 4.92 ± 0.14%
Acc: 63.79 ± 1.65%
Miss: 0.00 ± 0.00%","Cov: 9.08 ± 0.20%
Acc: 65.41 ± 1.10%
Miss: 0.00 ± 0.00%","Cov: 11.94 ± 0.25%
Acc: 68.94 ± 0.95%
Miss: 0.07 ± 0.01%","Cov: 20.50 ± 0.26%
Acc: 75.99 ± 0.73%
Miss: 0.43 ± 0.05%","Cov: 30.59 ± 0.32%
Acc: 77.44 ± 0.65%
Miss: 0.51 ± 0.08%","Cov: 40.71 ± 0.39%
Acc: 79.27 ± 0.54%
Miss: 0.84 ± 0.07%","Cov: 51.59 ± 0.37%
Acc: 78.88 ± 0.51%
Miss: 1.02 ± 0.09%","Cov: 61.62 ± 0.36%
Acc: 77.32 ± 0.49%
Miss: 1.15 ± 0.08%","Cov: 73.57 ± 0.31%
Acc: 74.70 ± 0.45%
Miss: 1.70 ± 0.10%","Cov: 86.12 ± 0.24%
Acc: 69.48 ± 0.40%
Miss: 1.73 ± 0.09%","Cov: 96.50 ± 0.13%
Acc: 64.28 ± 0.43%
Miss: 0.66 ± 0.07%","Cov: 99.22 ± 0.07%
Acc: 62.84 ± 0.39%
Miss: 0.19 ± 0.04%","Cov: 99.99 ± 0.01%
Acc: 62.49 ± 0.39%
Miss: 0.00 ± 0.01%"
Class_4,"Cov: 11.52 ± 0.58%
Acc: 67.42 ± 2.52%
Miss: 0.00 ± 0.00%","Cov: 19.84 ± 0.80%
Acc: 65.28 ± 2.11%
Miss: 0.00 ± 0.00%","Cov: 21.64 ± 0.78%
Acc: 59.81 ± 2.11%
Miss: 0.00 ± 0.00%","Cov: 26.98 ± 0.78%
Acc: 57.72 ± 2.20%
Miss: 0.03 ± 0.05%","Cov: 37.82 ± 1.03%
Acc: 63.73 ± 1.63%
Miss: 0.07 ± 0.05%","Cov: 46.36 ± 1.11%
Acc: 66.88 ± 1.42%
Miss: 0.09 ± 0.07%","Cov: 55.46 ± 1.04%
Acc: 67.84 ± 1.09%
Miss: 0.30 ± 0.12%","Cov: 67.38 ± 0.96%
Acc: 69.59 ± 1.08%
Miss: 0.22 ± 0.10%","Cov: 78.33 ± 0.98%
Acc: 69.89 ± 0.93%
Miss: 0.02 ± 0.03%","Cov: 89.47 ± 0.81%
Acc: 68.47 ± 0.92%
Miss: 0.02 ± 0.03%","Cov: 97.76 ± 0.23%
Acc: 67.38 ± 0.98%
Miss: 0.23 ± 0.10%","Cov: 99.59 ± 0.11%
Acc: 66.84 ± 0.93%
Miss: 0.14 ± 0.07%","Cov: 100.00 ± 0.00%
Acc: 66.75 ± 1.01%
Miss: 0.00 ± 0.00%"
Class_5,"Cov: 4.87 ± 0.08%
Acc: 84.07 ± 0.91%
Miss: 0.00 ± 0.00%","Cov: 7.88 ± 0.10%
Acc: 78.76 ± 0.80%
Miss: 0.00 ± 0.00%","Cov: 13.66 ± 0.14%
Acc: 82.10 ± 0.63%
Miss: 0.06 ± 0.02%","Cov: 21.97 ± 0.18%
Acc: 83.84 ± 0.43%
Miss: 0.25 ± 0.03%","Cov: 34.29 ± 0.24%
Acc: 85.68 ± 0.37%
Miss: 0.29 ± 0.04%","Cov: 45.79 ± 0.25%
Acc: 85.57 ± 0.36%
Miss: 0.11 ± 0.02%","Cov: 55.73 ± 0.23%
Acc: 84.35 ± 0.31%
Miss: 0.14 ± 0.02%","Cov: 66.48 ± 0.24%
Acc: 83.32 ± 0.29%
Miss: 0.15 ± 0.03%","Cov: 76.71 ± 0.20%
Acc: 81.29 ± 0.29%
Miss: 0.08 ± 0.02%","Cov: 88.68 ± 0.17%
Acc: 78.59 ± 0.26%
Miss: 0.17 ± 0.02%","Cov: 97.04 ± 0.11%
Acc: 75.96 ± 0.28%
Miss: 0.11 ± 0.02%","Cov: 99.51 ± 0.05%
Acc: 75.10 ± 0.29%
Miss: 0.10 ± 0.02%","Cov: 99.98 ± 0.01%
Acc: 74.82 ± 0.29%
Miss: 0.00 ± 0.00%"
Class_6,"Cov: 20.58 ± 0.13%
Acc: 98.45 ± 0.13%
Miss: 0.00 ± 0.00%","Cov: 23.37 ± 0.14%
Acc: 97.95 ± 0.12%
Miss: 0.00 ± 0.00%","Cov: 23.45 ± 0.13%
Acc: 97.63 ± 0.12%
Miss: 0.00 ± 0.00%","Cov: 23.79 ± 0.14%
Acc: 96.24 ± 0.19%
Miss: 0.00 ± 0.00%","Cov: 34.14 ± 0.16%
Acc: 96.68 ± 0.15%
Miss: 0.00 ± 0.00%","Cov: 39.42 ± 0.16%
Acc: 96.54 ± 0.14%
Miss: 0.00 ± 0.00%","Cov: 49.84 ± 0.17%
Acc: 96.78 ± 0.11%
Miss: 0.00 ± 0.00%","Cov: 59.83 ± 0.20%
Acc: 96.79 ± 0.10%
Miss: 0.00 ± 0.00%","Cov: 70.37 ± 0.19%
Acc: 96.29 ± 0.09%
Miss: 0.00 ± 0.00%","Cov: 80.22 ± 0.16%
Acc: 95.84 ± 0.10%
Miss: 0.00 ± 0.00%","Cov: 91.61 ± 0.13%
Acc: 95.25 ± 0.10%
Miss: 0.00 ± 0.00%","Cov: 97.59 ± 0.07%
Acc: 95.16 ± 0.09%
Miss: 0.00 ± 0.00%","Cov: 99.99 ± 0.00%
Acc: 95.17 ± 0.09%
Miss: 0.00 ± 0.00%"
Class_7,"Cov: 4.34 ± 0.08%
Acc: 69.37 ± 1.77%
Miss: 0.00 ± 0.00%","Cov: 7.72 ± 0.11%
Acc: 67.53 ± 1.04%
Miss: 0.00 ± 0.00%","Cov: 11.84 ± 0.13%
Acc: 75.80 ± 0.72%
Miss: 0.25 ± 0.03%","Cov: 21.24 ± 0.16%
Acc: 81.29 ± 0.50%
Miss: 0.46 ± 0.04%","Cov: 33.19 ± 0.20%
Acc: 83.81 ± 0.46%
Miss: 0.41 ± 0.04%","Cov: 44.72 ± 0.20%
Acc: 84.08 ± 0.31%
Miss: 0.26 ± 0.03%","Cov: 55.57 ± 0.19%
Acc: 84.12 ± 0.30%
Miss: 0.28 ± 0.03%","Cov: 65.20 ± 0.16%
Acc: 83.22 ± 0.27%
Miss: 0.29 ± 0.03%","Cov: 76.15 ± 0.19%
Acc: 81.56 ± 0.26%
Miss: 0.30 ± 0.03%","Cov: 88.66 ± 0.15%
Acc: 78.47 ± 0.26%
Miss: 0.25 ± 0.03%","Cov: 97.05 ± 0.06%
Acc: 75.89 ± 0.27%
Miss: 0.09 ± 0.01%","Cov: 99.35 ± 0.04%
Acc: 75.26 ± 0.27%
Miss: 0.06 ± 0.01%","Cov: 99.97 ± 0.01%
Acc: 75.05 ± 0.25%
Miss: 0.00 ± 0.00%"
Class_8,"Cov: 7.23 ± 0.22%
Acc: 67.93 ± 1.54%
Miss: 0.00 ± 0.00%","Cov: 12.44 ± 0.33%
Acc: 66.41 ± 1.17%
Miss: 0.00 ± 0.00%","Cov: 13.87 ± 0.33%
Acc: 67.48 ± 0.96%
Miss: 0.00 ± 0.00%","Cov: 22.20 ± 0.34%
Acc: 70.80 ± 0.72%
Miss: 0.09 ± 0.03%","Cov: 34.00 ± 0.47%
Acc: 76.67 ± 0.64%
Miss: 0.16 ± 0.04%","Cov: 45.28 ± 0.51%
Acc: 78.52 ± 0.57%
Miss: 0.32 ± 0.08%","Cov: 56.10 ± 0.49%
Acc: 79.11 ± 0.52%
Miss: 0.33 ± 0.06%","Cov: 66.67 ± 0.43%
Acc: 78.12 ± 0.48%
Miss: 0.54 ± 0.07%","Cov: 77.46 ± 0.38%
Acc: 75.99 ± 0.49%
Miss: 1.56 ± 0.13%","Cov: 87.28 ± 0.32%
Acc: 70.91 ± 0.46%
Miss: 1.71 ± 0.13%","Cov: 96.22 ± 0.21%
Acc: 65.99 ± 0.46%
Miss: 1.01 ± 0.11%","Cov: 99.21 ± 0.10%
Acc: 64.31 ± 0.49%
Miss: 0.20 ± 0.05%","Cov: 99.98 ± 0.03%
Acc: 63.78 ± 0.50%
Miss: 0.00 ± 0.01%"
