,Percentile_1,Percentile_5,Percentile_10,Percentile_20,Percentile_30,Percentile_40,Percentile_50,Percentile_60,Percentile_70,Percentile_80,Percentile_90,Percentile_95,Percentile_99
Total,"Cov: 22.86 ± 0.46%
Acc: 68.90 ± 0.85%
Miss: 0.56 ± 0.03%","Cov: 22.86 ± 0.46%
Acc: 68.90 ± 0.85%
Miss: 0.56 ± 0.03%","Cov: 22.86 ± 0.46%
Acc: 68.90 ± 0.85%
Miss: 0.56 ± 0.03%","Cov: 35.24 ± 0.57%
Acc: 68.66 ± 0.78%
Miss: 1.22 ± 0.04%","Cov: 47.34 ± 0.67%
Acc: 68.64 ± 0.66%
Miss: 2.17 ± 0.09%","Cov: 56.80 ± 0.55%
Acc: 69.35 ± 0.60%
Miss: 2.39 ± 0.10%","Cov: 66.44 ± 0.50%
Acc: 68.45 ± 0.56%
Miss: 2.40 ± 0.12%","Cov: 72.40 ± 0.45%
Acc: 67.46 ± 0.53%
Miss: 2.69 ± 0.13%","Cov: 76.89 ± 0.41%
Acc: 66.30 ± 0.51%
Miss: 2.96 ± 0.16%","Cov: 83.49 ± 0.37%
Acc: 65.46 ± 0.48%
Miss: 2.81 ± 0.15%","Cov: 93.34 ± 0.16%
Acc: 63.68 ± 0.44%
Miss: 1.20 ± 0.05%","Cov: 97.78 ± 0.09%
Acc: 62.66 ± 0.43%
Miss: 0.39 ± 0.02%","Cov: 98.91 ± 0.07%
Acc: 62.33 ± 0.43%
Miss: 0.22 ± 0.02%"
Class_0,"Cov: 35.90 ± 1.62%
Acc: 63.29 ± 2.78%
Miss: 0.66 ± 0.13%","Cov: 35.90 ± 1.62%
Acc: 63.29 ± 2.78%
Miss: 0.66 ± 0.13%","Cov: 35.90 ± 1.62%
Acc: 63.29 ± 2.78%
Miss: 0.66 ± 0.13%","Cov: 58.24 ± 1.68%
Acc: 71.01 ± 2.18%
Miss: 5.46 ± 0.41%","Cov: 67.88 ± 1.41%
Acc: 68.69 ± 2.12%
Miss: 8.16 ± 0.55%","Cov: 72.25 ± 1.29%
Acc: 66.39 ± 2.10%
Miss: 8.04 ± 0.54%","Cov: 76.39 ± 1.21%
Acc: 63.43 ± 2.12%
Miss: 6.63 ± 0.53%","Cov: 80.94 ± 1.10%
Acc: 61.47 ± 2.08%
Miss: 6.98 ± 0.56%","Cov: 85.43 ± 0.96%
Acc: 59.66 ± 2.06%
Miss: 7.02 ± 0.58%","Cov: 89.07 ± 0.76%
Acc: 57.47 ± 2.06%
Miss: 5.39 ± 0.50%","Cov: 95.80 ± 0.37%
Acc: 53.90 ± 2.10%
Miss: 1.75 ± 0.21%","Cov: 98.77 ± 0.15%
Acc: 52.55 ± 2.09%
Miss: 0.50 ± 0.08%","Cov: 99.52 ± 0.06%
Acc: 52.21 ± 2.07%
Miss: 0.20 ± 0.04%"
Class_1,"Cov: 19.56 ± 1.84%
Acc: 67.17 ± 6.47%
Miss: 0.00 ± 0.00%","Cov: 19.56 ± 1.84%
Acc: 67.17 ± 6.47%
Miss: 0.00 ± 0.00%","Cov: 19.56 ± 1.84%
Acc: 67.17 ± 6.47%
Miss: 0.00 ± 0.00%","Cov: 25.48 ± 1.83%
Acc: 63.46 ± 4.33%
Miss: 0.00 ± 0.00%","Cov: 46.63 ± 2.50%
Acc: 73.67 ± 2.28%
Miss: 0.00 ± 0.00%","Cov: 52.97 ± 2.22%
Acc: 72.71 ± 1.96%
Miss: 0.00 ± 0.01%","Cov: 57.60 ± 2.25%
Acc: 68.67 ± 2.01%
Miss: 0.00 ± 0.01%","Cov: 61.04 ± 2.06%
Acc: 66.31 ± 1.72%
Miss: 0.00 ± 0.00%","Cov: 63.95 ± 2.11%
Acc: 63.48 ± 1.72%
Miss: 0.00 ± 0.00%","Cov: 72.26 ± 1.41%
Acc: 63.41 ± 1.49%
Miss: 0.00 ± 0.00%","Cov: 92.74 ± 0.53%
Acc: 66.51 ± 1.67%
Miss: 0.48 ± 0.08%","Cov: 97.10 ± 0.31%
Acc: 64.99 ± 1.68%
Miss: 0.20 ± 0.05%","Cov: 98.73 ± 0.18%
Acc: 64.57 ± 1.70%
Miss: 0.16 ± 0.05%"
Class_2,"Cov: 27.10 ± 1.10%
Acc: 54.36 ± 3.99%
Miss: 0.41 ± 0.16%","Cov: 27.10 ± 1.10%
Acc: 54.36 ± 3.99%
Miss: 0.41 ± 0.16%","Cov: 27.10 ± 1.10%
Acc: 54.36 ± 3.99%
Miss: 0.41 ± 0.16%","Cov: 41.77 ± 1.37%
Acc: 56.34 ± 3.32%
Miss: 0.72 ± 0.19%","Cov: 52.90 ± 1.33%
Acc: 56.04 ± 2.80%
Miss: 1.22 ± 0.25%","Cov: 58.35 ± 1.24%
Acc: 53.50 ± 2.61%
Miss: 0.98 ± 0.23%","Cov: 66.09 ± 1.07%
Acc: 52.46 ± 2.44%
Miss: 1.23 ± 0.26%","Cov: 73.22 ± 0.93%
Acc: 52.46 ± 2.30%
Miss: 1.68 ± 0.24%","Cov: 80.06 ± 0.80%
Acc: 52.42 ± 2.26%
Miss: 2.82 ± 0.32%","Cov: 86.22 ± 0.61%
Acc: 51.45 ± 2.16%
Miss: 5.70 ± 0.42%","Cov: 93.89 ± 0.37%
Acc: 47.43 ± 2.03%
Miss: 1.83 ± 0.14%","Cov: 97.48 ± 0.20%
Acc: 45.73 ± 1.98%
Miss: 0.34 ± 0.05%","Cov: 98.59 ± 0.16%
Acc: 45.23 ± 1.97%
Miss: 0.10 ± 0.03%"
Class_3,"Cov: 35.51 ± 1.57%
Acc: 70.18 ± 2.70%
Miss: 5.53 ± 0.41%","Cov: 35.51 ± 1.57%
Acc: 70.18 ± 2.70%
Miss: 5.53 ± 0.41%","Cov: 35.51 ± 1.57%
Acc: 70.18 ± 2.70%
Miss: 5.53 ± 0.41%","Cov: 48.98 ± 1.48%
Acc: 65.15 ± 2.76%
Miss: 12.50 ± 0.58%","Cov: 58.47 ± 1.32%
Acc: 60.10 ± 2.74%
Miss: 17.21 ± 0.72%","Cov: 63.59 ± 1.18%
Acc: 56.20 ± 2.73%
Miss: 16.55 ± 0.72%","Cov: 70.18 ± 0.99%
Acc: 51.10 ± 2.67%
Miss: 12.46 ± 0.57%","Cov: 74.69 ± 0.92%
Acc: 48.83 ± 2.59%
Miss: 12.87 ± 0.61%","Cov: 79.20 ± 0.85%
Acc: 46.63 ± 2.54%
Miss: 13.87 ± 0.67%","Cov: 84.77 ± 0.68%
Acc: 43.76 ± 2.45%
Miss: 11.06 ± 0.55%","Cov: 93.10 ± 0.33%
Acc: 39.92 ± 2.28%
Miss: 5.11 ± 0.26%","Cov: 97.39 ± 0.20%
Acc: 38.20 ± 2.19%
Miss: 1.85 ± 0.14%","Cov: 98.69 ± 0.13%
Acc: 37.70 ± 2.15%
Miss: 0.93 ± 0.09%"
Class_4,"Cov: 35.74 ± 1.57%
Acc: 59.23 ± 4.20%
Miss: 1.44 ± 0.44%","Cov: 35.74 ± 1.57%
Acc: 59.23 ± 4.20%
Miss: 1.44 ± 0.44%","Cov: 35.74 ± 1.57%
Acc: 59.23 ± 4.20%
Miss: 1.44 ± 0.44%","Cov: 42.48 ± 1.66%
Acc: 50.49 ± 4.00%
Miss: 1.15 ± 0.38%","Cov: 47.83 ± 1.65%
Acc: 44.97 ± 3.68%
Miss: 1.05 ± 0.37%","Cov: 56.43 ± 1.61%
Acc: 48.69 ± 3.42%
Miss: 1.35 ± 0.39%","Cov: 64.33 ± 1.54%
Acc: 49.54 ± 3.22%
Miss: 1.62 ± 0.43%","Cov: 68.77 ± 1.55%
Acc: 46.88 ± 3.14%
Miss: 0.86 ± 0.22%","Cov: 73.75 ± 1.50%
Acc: 43.99 ± 2.98%
Miss: 0.13 ± 0.05%","Cov: 81.91 ± 1.21%
Acc: 45.58 ± 2.81%
Miss: 0.24 ± 0.06%","Cov: 95.37 ± 0.38%
Acc: 48.59 ± 2.61%
Miss: 0.90 ± 0.19%","Cov: 98.25 ± 0.20%
Acc: 47.41 ± 2.57%
Miss: 0.31 ± 0.08%","Cov: 99.18 ± 0.12%
Acc: 47.05 ± 2.57%
Miss: 0.13 ± 0.05%"
Class_5,"Cov: 36.33 ± 1.69%
Acc: 74.98 ± 2.47%
Miss: 0.47 ± 0.07%","Cov: 36.33 ± 1.69%
Acc: 74.98 ± 2.47%
Miss: 0.47 ± 0.07%","Cov: 36.33 ± 1.69%
Acc: 74.98 ± 2.47%
Miss: 0.47 ± 0.07%","Cov: 44.53 ± 1.74%
Acc: 64.66 ± 2.86%
Miss: 0.31 ± 0.07%","Cov: 54.69 ± 1.59%
Acc: 61.35 ± 2.80%
Miss: 0.41 ± 0.07%","Cov: 59.76 ± 1.49%
Acc: 59.70 ± 2.75%
Miss: 0.35 ± 0.06%","Cov: 65.31 ± 1.36%
Acc: 57.81 ± 2.65%
Miss: 0.35 ± 0.08%","Cov: 70.20 ± 1.24%
Acc: 57.27 ± 2.59%
Miss: 0.42 ± 0.10%","Cov: 73.31 ± 1.17%
Acc: 56.55 ± 2.55%
Miss: 0.41 ± 0.11%","Cov: 78.57 ± 0.96%
Acc: 55.66 ± 2.46%
Miss: 0.26 ± 0.08%","Cov: 90.54 ± 0.51%
Acc: 55.64 ± 2.35%
Miss: 0.03 ± 0.02%","Cov: 97.03 ± 0.25%
Acc: 56.44 ± 2.32%
Miss: 0.02 ± 0.01%","Cov: 98.86 ± 0.13%
Acc: 56.47 ± 2.31%
Miss: 0.05 ± 0.02%"
Class_6,"Cov: 23.04 ± 2.12%
Acc: 95.91 ± 1.47%
Miss: 0.00 ± 0.00%","Cov: 23.04 ± 2.12%
Acc: 95.91 ± 1.47%
Miss: 0.00 ± 0.00%","Cov: 23.04 ± 2.12%
Acc: 95.91 ± 1.47%
Miss: 0.00 ± 0.00%","Cov: 31.48 ± 1.71%
Acc: 95.16 ± 1.84%
Miss: 0.00 ± 0.00%","Cov: 43.11 ± 1.94%
Acc: 95.72 ± 0.70%
Miss: 0.00 ± 0.00%","Cov: 60.18 ± 1.13%
Acc: 96.62 ± 0.24%
Miss: 0.00 ± 0.00%","Cov: 73.64 ± 0.77%
Acc: 96.60 ± 0.21%
Miss: 0.00 ± 0.00%","Cov: 79.86 ± 0.64%
Acc: 96.39 ± 0.19%
Miss: 0.00 ± 0.00%","Cov: 83.04 ± 0.56%
Acc: 96.14 ± 0.19%
Miss: 0.00 ± 0.00%","Cov: 90.96 ± 0.28%
Acc: 95.98 ± 0.17%
Miss: 0.00 ± 0.00%","Cov: 96.32 ± 0.17%
Acc: 95.25 ± 0.18%
Miss: 0.00 ± 0.00%","Cov: 98.77 ± 0.12%
Acc: 94.87 ± 0.19%
Miss: 0.00 ± 0.00%","Cov: 99.51 ± 0.08%
Acc: 94.76 ± 0.19%
Miss: 0.00 ± 0.00%"
Class_7,"Cov: 10.15 ± 1.11%
Acc: 18.92 ± 3.52%
Miss: 0.00 ± 0.00%","Cov: 10.15 ± 1.11%
Acc: 18.92 ± 3.52%
Miss: 0.00 ± 0.00%","Cov: 10.15 ± 1.11%
Acc: 18.92 ± 3.52%
Miss: 0.00 ± 0.00%","Cov: 17.02 ± 1.33%
Acc: 23.70 ± 3.25%
Miss: 0.00 ± 0.00%","Cov: 22.28 ± 1.50%
Acc: 21.10 ± 2.72%
Miss: 0.00 ± 0.01%","Cov: 38.68 ± 1.69%
Acc: 46.57 ± 2.95%
Miss: 0.07 ± 0.03%","Cov: 64.59 ± 1.22%
Acc: 61.16 ± 2.41%
Miss: 1.42 ± 0.25%","Cov: 68.49 ± 1.12%
Acc: 59.17 ± 2.37%
Miss: 1.41 ± 0.26%","Cov: 77.87 ± 0.99%
Acc: 60.50 ± 2.20%
Miss: 2.10 ± 0.38%","Cov: 87.53 ± 0.85%
Acc: 61.20 ± 2.07%
Miss: 3.69 ± 0.54%","Cov: 95.24 ± 0.35%
Acc: 57.38 ± 2.03%
Miss: 0.75 ± 0.08%","Cov: 98.51 ± 0.17%
Acc: 56.49 ± 1.99%
Miss: 0.38 ± 0.05%","Cov: 99.34 ± 0.11%
Acc: 56.11 ± 1.98%
Miss: 0.33 ± 0.06%"
Class_8,"Cov: 30.32 ± 1.41%
Acc: 69.42 ± 2.52%
Miss: 1.99 ± 0.23%","Cov: 30.32 ± 1.41%
Acc: 69.42 ± 2.52%
Miss: 1.99 ± 0.23%","Cov: 30.32 ± 1.41%
Acc: 69.42 ± 2.52%
Miss: 1.99 ± 0.23%","Cov: 40.12 ± 1.56%
Acc: 62.74 ± 2.49%
Miss: 3.05 ± 0.28%","Cov: 47.82 ± 1.49%
Acc: 54.95 ± 2.63%
Miss: 2.79 ± 0.25%","Cov: 52.60 ± 1.48%
Acc: 51.11 ± 2.60%
Miss: 2.42 ± 0.23%","Cov: 61.54 ± 1.55%
Acc: 49.48 ± 2.37%
Miss: 3.08 ± 0.25%","Cov: 68.20 ± 1.48%
Acc: 49.34 ± 2.20%
Miss: 4.25 ± 0.31%","Cov: 73.44 ± 1.38%
Acc: 47.42 ± 2.13%
Miss: 3.86 ± 0.31%","Cov: 80.83 ± 1.15%
Acc: 46.03 ± 2.04%
Miss: 3.99 ± 0.31%","Cov: 90.91 ± 0.74%
Acc: 42.57 ± 1.93%
Miss: 1.37 ± 0.16%","Cov: 95.61 ± 0.47%
Acc: 41.17 ± 1.88%
Miss: 0.26 ± 0.06%","Cov: 97.26 ± 0.36%
Acc: 40.86 ± 1.87%
Miss: 0.09 ± 0.03%"
