,Percentile_1,Percentile_5,Percentile_10,Percentile_20,Percentile_30,Percentile_40,Percentile_50,Percentile_60,Percentile_70,Percentile_80,Percentile_90,Percentile_95,Percentile_99
Total,"Cov: 7.28 ± 0.07%
Acc: 84.99 ± 0.59%
Miss: 0.01 ± 0.00%","Cov: 9.43 ± 0.09%
Acc: 81.27 ± 0.53%
Miss: 0.07 ± 0.01%","Cov: 14.35 ± 0.12%
Acc: 78.68 ± 0.51%
Miss: 0.19 ± 0.01%","Cov: 23.64 ± 0.13%
Acc: 72.92 ± 0.40%
Miss: 0.50 ± 0.02%","Cov: 34.16 ± 0.12%
Acc: 70.99 ± 0.28%
Miss: 0.82 ± 0.02%","Cov: 44.26 ± 0.15%
Acc: 70.06 ± 0.18%
Miss: 1.42 ± 0.04%","Cov: 55.68 ± 0.14%
Acc: 69.22 ± 0.15%
Miss: 1.46 ± 0.03%","Cov: 65.28 ± 0.13%
Acc: 67.64 ± 0.14%
Miss: 1.11 ± 0.03%","Cov: 73.67 ± 0.12%
Acc: 67.08 ± 0.13%
Miss: 0.96 ± 0.03%","Cov: 82.64 ± 0.09%
Acc: 66.99 ± 0.13%
Miss: 0.58 ± 0.02%","Cov: 91.05 ± 0.08%
Acc: 66.94 ± 0.13%
Miss: 0.42 ± 0.01%","Cov: 94.95 ± 0.06%
Acc: 66.84 ± 0.15%
Miss: 0.35 ± 0.02%","Cov: 98.34 ± 0.04%
Acc: 66.93 ± 0.13%
Miss: 0.14 ± 0.01%"
Class_0,"Cov: 3.49 ± 0.17%
Acc: 59.12 ± 2.76%
Miss: 0.00 ± 0.00%","Cov: 5.07 ± 0.20%
Acc: 51.61 ± 2.60%
Miss: 0.00 ± 0.00%","Cov: 15.70 ± 0.41%
Acc: 73.53 ± 1.05%
Miss: 0.87 ± 0.11%","Cov: 27.45 ± 0.44%
Acc: 68.39 ± 0.89%
Miss: 1.29 ± 0.12%","Cov: 37.42 ± 0.50%
Acc: 63.52 ± 0.87%
Miss: 1.40 ± 0.12%","Cov: 46.63 ± 0.47%
Acc: 62.48 ± 0.86%
Miss: 1.84 ± 0.14%","Cov: 56.18 ± 0.40%
Acc: 60.69 ± 0.87%
Miss: 1.54 ± 0.11%","Cov: 69.51 ± 0.34%
Acc: 61.51 ± 0.79%
Miss: 2.10 ± 0.12%","Cov: 76.65 ± 0.29%
Acc: 59.72 ± 0.78%
Miss: 1.16 ± 0.07%","Cov: 82.17 ± 0.28%
Acc: 58.02 ± 0.76%
Miss: 0.40 ± 0.06%","Cov: 90.62 ± 0.23%
Acc: 58.04 ± 0.73%
Miss: 0.13 ± 0.02%","Cov: 95.84 ± 0.17%
Acc: 58.77 ± 0.71%
Miss: 0.18 ± 0.03%","Cov: 98.69 ± 0.07%
Acc: 58.84 ± 0.70%
Miss: 0.02 ± 0.01%"
Class_1,"Cov: 24.09 ± 0.51%
Acc: 93.55 ± 2.49%
Miss: 0.00 ± 0.00%","Cov: 25.04 ± 0.55%
Acc: 90.09 ± 2.55%
Miss: 0.00 ± 0.00%","Cov: 26.46 ± 0.58%
Acc: 84.17 ± 3.34%
Miss: 0.00 ± 0.00%","Cov: 29.88 ± 0.65%
Acc: 74.07 ± 3.05%
Miss: 0.00 ± 0.00%","Cov: 39.46 ± 0.70%
Acc: 71.71 ± 2.34%
Miss: 0.00 ± 0.00%","Cov: 52.61 ± 0.46%
Acc: 73.93 ± 0.78%
Miss: 0.00 ± 0.00%","Cov: 67.13 ± 0.44%
Acc: 74.39 ± 0.58%
Miss: 0.00 ± 0.00%","Cov: 76.14 ± 0.35%
Acc: 72.85 ± 0.61%
Miss: 0.01 ± 0.01%","Cov: 83.27 ± 0.34%
Acc: 72.48 ± 0.57%
Miss: 0.10 ± 0.03%","Cov: 87.22 ± 0.33%
Acc: 71.13 ± 0.58%
Miss: 0.03 ± 0.01%","Cov: 94.22 ± 0.29%
Acc: 71.06 ± 0.50%
Miss: 0.04 ± 0.01%","Cov: 96.90 ± 0.22%
Acc: 70.27 ± 0.87%
Miss: 0.07 ± 0.01%","Cov: 99.33 ± 0.06%
Acc: 70.52 ± 0.58%
Miss: 0.23 ± 0.03%"
Class_2,"Cov: 2.86 ± 0.13%
Acc: 52.45 ± 3.70%
Miss: 0.00 ± 0.00%","Cov: 10.18 ± 0.36%
Acc: 79.73 ± 1.53%
Miss: 0.97 ± 0.13%","Cov: 14.54 ± 0.42%
Acc: 73.09 ± 1.48%
Miss: 1.64 ± 0.15%","Cov: 24.71 ± 0.53%
Acc: 65.13 ± 1.31%
Miss: 2.44 ± 0.22%","Cov: 31.50 ± 0.47%
Acc: 55.87 ± 1.29%
Miss: 1.36 ± 0.12%","Cov: 39.04 ± 0.48%
Acc: 52.01 ± 1.18%
Miss: 1.40 ± 0.10%","Cov: 50.63 ± 0.52%
Acc: 53.06 ± 1.01%
Miss: 2.00 ± 0.12%","Cov: 61.58 ± 0.49%
Acc: 53.16 ± 0.88%
Miss: 2.24 ± 0.12%","Cov: 69.74 ± 0.46%
Acc: 52.44 ± 0.83%
Miss: 1.62 ± 0.12%","Cov: 79.49 ± 0.44%
Acc: 53.30 ± 0.76%
Miss: 1.58 ± 0.09%","Cov: 91.08 ± 0.37%
Acc: 54.56 ± 0.68%
Miss: 2.14 ± 0.09%","Cov: 94.85 ± 0.30%
Acc: 53.90 ± 0.67%
Miss: 1.13 ± 0.08%","Cov: 98.42 ± 0.13%
Acc: 53.79 ± 0.64%
Miss: 0.63 ± 0.06%"
Class_3,"Cov: 3.86 ± 0.19%
Acc: 69.42 ± 2.01%
Miss: 0.03 ± 0.02%","Cov: 6.61 ± 0.26%
Acc: 66.71 ± 1.61%
Miss: 0.06 ± 0.03%","Cov: 9.78 ± 0.33%
Acc: 61.09 ± 1.56%
Miss: 0.04 ± 0.03%","Cov: 18.38 ± 0.46%
Acc: 49.14 ± 1.18%
Miss: 0.20 ± 0.06%","Cov: 31.08 ± 0.56%
Acc: 52.22 ± 0.96%
Miss: 0.76 ± 0.08%","Cov: 43.33 ± 0.58%
Acc: 52.91 ± 0.94%
Miss: 2.19 ± 0.13%","Cov: 55.15 ± 0.52%
Acc: 50.94 ± 0.83%
Miss: 2.31 ± 0.14%","Cov: 65.63 ± 0.37%
Acc: 48.96 ± 0.80%
Miss: 1.64 ± 0.10%","Cov: 75.28 ± 0.33%
Acc: 48.82 ± 0.71%
Miss: 1.44 ± 0.10%","Cov: 82.66 ± 0.33%
Acc: 47.79 ± 0.65%
Miss: 0.83 ± 0.07%","Cov: 90.36 ± 0.24%
Acc: 46.73 ± 0.61%
Miss: 0.15 ± 0.03%","Cov: 96.48 ± 0.18%
Acc: 48.11 ± 0.59%
Miss: 0.36 ± 0.04%","Cov: 98.93 ± 0.08%
Acc: 48.10 ± 0.57%
Miss: 0.02 ± 0.01%"
Class_4,"Cov: 5.42 ± 0.23%
Acc: 45.66 ± 2.50%
Miss: 0.00 ± 0.00%","Cov: 12.55 ± 0.39%
Acc: 61.21 ± 1.95%
Miss: 0.04 ± 0.02%","Cov: 18.47 ± 0.47%
Acc: 52.13 ± 1.71%
Miss: 0.03 ± 0.02%","Cov: 29.89 ± 0.41%
Acc: 50.07 ± 1.51%
Miss: 0.27 ± 0.07%","Cov: 40.88 ± 0.36%
Acc: 49.36 ± 1.28%
Miss: 0.22 ± 0.07%","Cov: 48.70 ± 0.38%
Acc: 48.28 ± 1.16%
Miss: 0.15 ± 0.08%","Cov: 58.49 ± 0.41%
Acc: 48.15 ± 1.04%
Miss: 0.09 ± 0.03%","Cov: 69.19 ± 0.48%
Acc: 49.41 ± 0.98%
Miss: 0.17 ± 0.05%","Cov: 80.12 ± 0.39%
Acc: 52.35 ± 0.96%
Miss: 0.37 ± 0.07%","Cov: 86.59 ± 0.31%
Acc: 52.96 ± 0.89%
Miss: 0.26 ± 0.04%","Cov: 94.11 ± 0.21%
Acc: 54.35 ± 0.82%
Miss: 0.23 ± 0.04%","Cov: 96.72 ± 0.18%
Acc: 54.28 ± 0.79%
Miss: 0.11 ± 0.03%","Cov: 98.89 ± 0.09%
Acc: 54.67 ± 0.78%
Miss: 0.07 ± 0.02%"
Class_5,"Cov: 2.51 ± 0.14%
Acc: 65.49 ± 2.63%
Miss: 0.00 ± 0.00%","Cov: 3.38 ± 0.17%
Acc: 62.52 ± 2.54%
Miss: 0.00 ± 0.00%","Cov: 11.94 ± 0.32%
Acc: 78.16 ± 1.29%
Miss: 0.13 ± 0.03%","Cov: 22.76 ± 0.40%
Acc: 69.03 ± 1.43%
Miss: 0.65 ± 0.09%","Cov: 38.74 ± 0.44%
Acc: 70.26 ± 1.17%
Miss: 2.50 ± 0.14%","Cov: 47.71 ± 0.43%
Acc: 66.15 ± 1.16%
Miss: 2.50 ± 0.13%","Cov: 56.35 ± 0.44%
Acc: 63.14 ± 1.08%
Miss: 2.17 ± 0.12%","Cov: 65.26 ± 0.45%
Acc: 60.62 ± 0.99%
Miss: 1.32 ± 0.08%","Cov: 73.63 ± 0.42%
Acc: 60.19 ± 0.91%
Miss: 1.14 ± 0.08%","Cov: 81.37 ± 0.36%
Acc: 60.01 ± 0.82%
Miss: 0.62 ± 0.05%","Cov: 89.39 ± 0.25%
Acc: 60.11 ± 0.77%
Miss: 0.28 ± 0.04%","Cov: 95.12 ± 0.17%
Acc: 61.19 ± 0.75%
Miss: 0.71 ± 0.07%","Cov: 97.51 ± 0.12%
Acc: 60.58 ± 0.73%
Miss: 0.04 ± 0.01%"
Class_6,"Cov: 22.44 ± 0.19%
Acc: 99.13 ± 0.12%
Miss: 0.00 ± 0.00%","Cov: 22.59 ± 0.19%
Acc: 98.48 ± 0.13%
Miss: 0.00 ± 0.00%","Cov: 22.89 ± 0.20%
Acc: 97.20 ± 0.16%
Miss: 0.00 ± 0.00%","Cov: 23.56 ± 0.20%
Acc: 94.43 ± 0.26%
Miss: 0.00 ± 0.00%","Cov: 29.18 ± 0.32%
Acc: 92.78 ± 0.29%
Miss: 0.00 ± 0.00%","Cov: 34.75 ± 0.32%
Acc: 91.63 ± 0.28%
Miss: 0.00 ± 0.00%","Cov: 53.14 ± 0.50%
Acc: 92.82 ± 0.27%
Miss: 0.00 ± 0.00%","Cov: 61.93 ± 0.53%
Acc: 92.32 ± 0.29%
Miss: 0.00 ± 0.00%","Cov: 69.41 ± 0.46%
Acc: 92.25 ± 0.30%
Miss: 0.00 ± 0.00%","Cov: 83.52 ± 0.20%
Acc: 93.00 ± 0.29%
Miss: 0.00 ± 0.00%","Cov: 91.69 ± 0.16%
Acc: 93.23 ± 0.27%
Miss: 0.00 ± 0.00%","Cov: 93.75 ± 0.16%
Acc: 93.22 ± 0.27%
Miss: 0.01 ± 0.00%","Cov: 99.63 ± 0.08%
Acc: 93.44 ± 0.25%
Miss: 0.06 ± 0.01%"
Class_7,"Cov: 2.01 ± 0.12%
Acc: 45.86 ± 4.05%
Miss: 0.00 ± 0.00%","Cov: 3.17 ± 0.18%
Acc: 50.05 ± 2.97%
Miss: 0.01 ± 0.01%","Cov: 5.68 ± 0.26%
Acc: 53.05 ± 2.43%
Miss: 0.09 ± 0.03%","Cov: 16.41 ± 0.49%
Acc: 63.04 ± 1.65%
Miss: 0.21 ± 0.06%","Cov: 27.73 ± 0.55%
Acc: 64.96 ± 1.22%
Miss: 0.56 ± 0.08%","Cov: 35.47 ± 0.55%
Acc: 61.64 ± 1.12%
Miss: 0.63 ± 0.10%","Cov: 49.09 ± 0.49%
Acc: 63.93 ± 0.91%
Miss: 1.58 ± 0.11%","Cov: 61.00 ± 0.47%
Acc: 63.61 ± 0.84%
Miss: 1.56 ± 0.10%","Cov: 69.53 ± 0.49%
Acc: 62.79 ± 0.81%
Miss: 1.13 ± 0.08%","Cov: 76.15 ± 0.45%
Acc: 61.30 ± 0.79%
Miss: 0.46 ± 0.05%","Cov: 86.29 ± 0.33%
Acc: 61.80 ± 0.76%
Miss: 0.22 ± 0.03%","Cov: 92.27 ± 0.26%
Acc: 62.12 ± 0.74%
Miss: 0.28 ± 0.04%","Cov: 95.78 ± 0.21%
Acc: 61.57 ± 0.72%
Miss: 0.00 ± 0.00%"
Class_8,"Cov: 4.91 ± 0.27%
Acc: 71.26 ± 2.26%
Miss: 0.06 ± 0.03%","Cov: 6.99 ± 0.32%
Acc: 67.34 ± 2.14%
Miss: 0.04 ± 0.02%","Cov: 13.16 ± 0.41%
Acc: 66.35 ± 1.62%
Miss: 0.17 ± 0.05%","Cov: 29.72 ± 0.54%
Acc: 69.59 ± 0.87%
Miss: 1.62 ± 0.15%","Cov: 41.18 ± 0.56%
Acc: 65.08 ± 0.76%
Miss: 2.85 ± 0.18%","Cov: 50.16 ± 0.58%
Acc: 59.61 ± 0.79%
Miss: 2.95 ± 0.17%","Cov: 60.88 ± 0.52%
Acc: 55.96 ± 0.71%
Miss: 2.65 ± 0.16%","Cov: 70.15 ± 0.47%
Acc: 53.34 ± 0.65%
Miss: 1.82 ± 0.10%","Cov: 78.47 ± 0.39%
Acc: 52.59 ± 0.62%
Miss: 1.55 ± 0.13%","Cov: 85.03 ± 0.35%
Acc: 51.76 ± 0.60%
Miss: 0.79 ± 0.06%","Cov: 92.63 ± 0.26%
Acc: 51.72 ± 0.56%
Miss: 0.59 ± 0.05%","Cov: 94.83 ± 0.25%
Acc: 51.14 ± 0.55%
Miss: 0.28 ± 0.05%","Cov: 98.56 ± 0.12%
Acc: 51.60 ± 0.52%
Miss: 0.56 ± 0.05%"
