,Percentile_1,Percentile_5,Percentile_10,Percentile_20,Percentile_30,Percentile_40,Percentile_50,Percentile_60,Percentile_70,Percentile_80,Percentile_90,Percentile_95,Percentile_99
Total,"Cov: 11.46 ± 0.10%
Acc: 84.26 ± 0.41%
Miss: 0.00 ± 0.00%","Cov: 18.11 ± 0.12%
Acc: 79.87 ± 0.65%
Miss: 0.00 ± 0.00%","Cov: 18.79 ± 0.12%
Acc: 79.13 ± 0.65%
Miss: 0.02 ± 0.00%","Cov: 25.08 ± 0.16%
Acc: 81.93 ± 0.46%
Miss: 0.22 ± 0.02%","Cov: 33.37 ± 0.18%
Acc: 83.88 ± 0.37%
Miss: 0.22 ± 0.02%","Cov: 43.81 ± 0.19%
Acc: 85.41 ± 0.28%
Miss: 0.20 ± 0.02%","Cov: 53.37 ± 0.16%
Acc: 86.12 ± 0.25%
Miss: 0.24 ± 0.02%","Cov: 63.26 ± 0.15%
Acc: 86.39 ± 0.15%
Miss: 0.29 ± 0.02%","Cov: 74.03 ± 0.13%
Acc: 85.73 ± 0.15%
Miss: 0.37 ± 0.02%","Cov: 84.89 ± 0.11%
Acc: 84.36 ± 0.15%
Miss: 0.50 ± 0.02%","Cov: 94.88 ± 0.08%
Acc: 81.87 ± 0.14%
Miss: 0.49 ± 0.03%","Cov: 98.57 ± 0.04%
Acc: 80.48 ± 0.13%
Miss: 0.26 ± 0.02%","Cov: 99.94 ± 0.01%
Acc: 79.90 ± 0.13%
Miss: 0.02 ± 0.00%"
Class_0,"Cov: 9.38 ± 0.51%
Acc: 63.00 ± 2.36%
Miss: 0.00 ± 0.00%","Cov: 14.52 ± 0.56%
Acc: 60.84 ± 1.79%
Miss: 0.00 ± 0.00%","Cov: 14.92 ± 0.56%
Acc: 59.20 ± 1.74%
Miss: 0.00 ± 0.00%","Cov: 22.98 ± 0.69%
Acc: 65.29 ± 1.25%
Miss: 0.46 ± 0.10%","Cov: 32.59 ± 0.82%
Acc: 72.32 ± 1.17%
Miss: 0.42 ± 0.10%","Cov: 42.82 ± 0.83%
Acc: 76.23 ± 0.90%
Miss: 0.34 ± 0.09%","Cov: 52.58 ± 0.80%
Acc: 78.22 ± 0.78%
Miss: 0.12 ± 0.05%","Cov: 62.94 ± 0.74%
Acc: 79.38 ± 0.73%
Miss: 0.37 ± 0.10%","Cov: 75.23 ± 0.63%
Acc: 79.42 ± 0.69%
Miss: 0.22 ± 0.07%","Cov: 86.22 ± 0.52%
Acc: 78.69 ± 0.64%
Miss: 0.11 ± 0.04%","Cov: 95.97 ± 0.26%
Acc: 76.71 ± 0.59%
Miss: 0.04 ± 0.03%","Cov: 98.94 ± 0.15%
Acc: 75.60 ± 0.58%
Miss: 0.12 ± 0.05%","Cov: 99.93 ± 0.03%
Acc: 74.90 ± 0.62%
Miss: 0.01 ± 0.01%"
Class_1,"Cov: 18.78 ± 0.58%
Acc: 65.59 ± 2.01%
Miss: 0.00 ± 0.00%","Cov: 39.88 ± 0.71%
Acc: 50.53 ± 4.36%
Miss: 0.00 ± 0.00%","Cov: 40.09 ± 0.71%
Acc: 50.58 ± 4.38%
Miss: 0.00 ± 0.00%","Cov: 42.20 ± 0.79%
Acc: 65.83 ± 4.21%
Miss: 0.00 ± 0.00%","Cov: 42.86 ± 0.81%
Acc: 76.66 ± 3.71%
Miss: 0.00 ± 0.00%","Cov: 51.89 ± 0.73%
Acc: 79.63 ± 3.13%
Miss: 0.00 ± 0.00%","Cov: 56.70 ± 0.70%
Acc: 79.72 ± 2.93%
Miss: 0.00 ± 0.00%","Cov: 64.62 ± 0.70%
Acc: 85.15 ± 0.76%
Miss: 0.00 ± 0.00%","Cov: 75.07 ± 0.66%
Acc: 84.71 ± 0.75%
Miss: 0.00 ± 0.00%","Cov: 86.50 ± 0.51%
Acc: 84.51 ± 0.74%
Miss: 0.05 ± 0.03%","Cov: 96.05 ± 0.27%
Acc: 83.73 ± 0.56%
Miss: 0.06 ± 0.03%","Cov: 99.00 ± 0.14%
Acc: 81.96 ± 0.62%
Miss: 0.37 ± 0.07%","Cov: 99.99 ± 0.01%
Acc: 81.67 ± 0.60%
Miss: 0.00 ± 0.00%"
Class_2,"Cov: 9.07 ± 0.57%
Acc: 64.38 ± 2.92%
Miss: 0.00 ± 0.00%","Cov: 13.97 ± 0.64%
Acc: 64.70 ± 1.98%
Miss: 0.00 ± 0.00%","Cov: 14.02 ± 0.64%
Acc: 64.48 ± 1.96%
Miss: 0.00 ± 0.00%","Cov: 22.31 ± 0.86%
Acc: 68.03 ± 1.76%
Miss: 1.35 ± 0.20%","Cov: 33.62 ± 0.93%
Acc: 73.49 ± 1.35%
Miss: 0.46 ± 0.11%","Cov: 43.00 ± 0.97%
Acc: 77.23 ± 1.18%
Miss: 0.42 ± 0.10%","Cov: 53.38 ± 0.84%
Acc: 79.76 ± 1.06%
Miss: 0.57 ± 0.13%","Cov: 63.84 ± 0.78%
Acc: 80.40 ± 1.03%
Miss: 0.44 ± 0.12%","Cov: 75.02 ± 0.75%
Acc: 78.78 ± 1.00%
Miss: 0.67 ± 0.14%","Cov: 85.02 ± 0.57%
Acc: 76.08 ± 0.85%
Miss: 1.55 ± 0.21%","Cov: 94.33 ± 0.37%
Acc: 70.46 ± 0.93%
Miss: 1.58 ± 0.20%","Cov: 98.69 ± 0.21%
Acc: 67.75 ± 0.89%
Miss: 0.60 ± 0.14%","Cov: 99.97 ± 0.03%
Acc: 66.81 ± 0.91%
Miss: 0.00 ± 0.00%"
Class_3,"Cov: 6.57 ± 0.39%
Acc: 69.01 ± 3.42%
Miss: 0.00 ± 0.00%","Cov: 11.90 ± 0.51%
Acc: 67.87 ± 2.25%
Miss: 0.00 ± 0.00%","Cov: 13.75 ± 0.54%
Acc: 70.13 ± 1.98%
Miss: 0.00 ± 0.00%","Cov: 22.97 ± 0.71%
Acc: 77.73 ± 1.45%
Miss: 0.50 ± 0.16%","Cov: 32.64 ± 0.83%
Acc: 78.87 ± 1.38%
Miss: 0.66 ± 0.14%","Cov: 42.32 ± 0.91%
Acc: 79.81 ± 1.23%
Miss: 1.10 ± 0.20%","Cov: 52.26 ± 0.95%
Acc: 80.40 ± 1.17%
Miss: 1.62 ± 0.20%","Cov: 63.01 ± 0.95%
Acc: 78.90 ± 1.11%
Miss: 2.06 ± 0.24%","Cov: 73.70 ± 0.82%
Acc: 76.31 ± 1.01%
Miss: 2.60 ± 0.31%","Cov: 83.32 ± 0.59%
Acc: 73.01 ± 1.05%
Miss: 3.74 ± 0.36%","Cov: 93.87 ± 0.44%
Acc: 66.59 ± 0.96%
Miss: 2.45 ± 0.30%","Cov: 98.79 ± 0.22%
Acc: 63.69 ± 0.93%
Miss: 0.54 ± 0.15%","Cov: 99.90 ± 0.06%
Acc: 62.87 ± 0.93%
Miss: 0.04 ± 0.04%"
Class_4,"Cov: 12.90 ± 0.80%
Acc: 57.34 ± 3.19%
Miss: 0.00 ± 0.00%","Cov: 21.58 ± 1.04%
Acc: 56.23 ± 2.36%
Miss: 0.00 ± 0.00%","Cov: 22.64 ± 1.05%
Acc: 53.58 ± 2.32%
Miss: 0.00 ± 0.00%","Cov: 28.31 ± 1.04%
Acc: 50.41 ± 2.40%
Miss: 0.00 ± 0.00%","Cov: 38.81 ± 1.33%
Acc: 55.00 ± 2.32%
Miss: 0.32 ± 0.17%","Cov: 47.66 ± 1.34%
Acc: 58.57 ± 1.79%
Miss: 0.17 ± 0.11%","Cov: 56.32 ± 1.30%
Acc: 61.75 ± 1.50%
Miss: 0.27 ± 0.15%","Cov: 67.20 ± 1.21%
Acc: 64.26 ± 1.41%
Miss: 0.47 ± 0.19%","Cov: 77.98 ± 1.12%
Acc: 64.00 ± 1.30%
Miss: 0.19 ± 0.11%","Cov: 88.34 ± 0.90%
Acc: 64.13 ± 1.17%
Miss: 0.47 ± 0.20%","Cov: 96.25 ± 0.47%
Acc: 61.52 ± 1.15%
Miss: 1.25 ± 0.26%","Cov: 99.02 ± 0.24%
Acc: 59.71 ± 1.32%
Miss: 0.68 ± 0.22%","Cov: 100.00 ± 0.00%
Acc: 59.27 ± 1.25%
Miss: 0.00 ± 0.00%"
Class_5,"Cov: 6.72 ± 0.30%
Acc: 86.00 ± 2.00%
Miss: 0.00 ± 0.00%","Cov: 11.61 ± 0.41%
Acc: 83.16 ± 1.48%
Miss: 0.00 ± 0.00%","Cov: 11.87 ± 0.41%
Acc: 81.38 ± 1.47%
Miss: 0.00 ± 0.00%","Cov: 20.58 ± 0.50%
Acc: 87.27 ± 1.08%
Miss: 0.22 ± 0.07%","Cov: 30.90 ± 0.58%
Acc: 87.04 ± 0.96%
Miss: 0.26 ± 0.07%","Cov: 41.76 ± 0.65%
Acc: 86.91 ± 0.83%
Miss: 0.20 ± 0.06%","Cov: 52.58 ± 0.65%
Acc: 86.56 ± 0.72%
Miss: 0.12 ± 0.06%","Cov: 63.03 ± 0.71%
Acc: 86.35 ± 0.62%
Miss: 0.07 ± 0.04%","Cov: 73.72 ± 0.66%
Acc: 85.73 ± 0.53%
Miss: 0.12 ± 0.05%","Cov: 85.19 ± 0.50%
Acc: 83.91 ± 0.56%
Miss: 0.13 ± 0.06%","Cov: 95.84 ± 0.24%
Acc: 81.45 ± 0.59%
Miss: 0.24 ± 0.08%","Cov: 99.09 ± 0.14%
Acc: 80.13 ± 0.56%
Miss: 0.11 ± 0.05%","Cov: 99.97 ± 0.02%
Acc: 79.60 ± 0.55%
Miss: 0.00 ± 0.00%"
Class_6,"Cov: 26.61 ± 0.39%
Acc: 98.39 ± 0.23%
Miss: 0.00 ± 0.00%","Cov: 32.66 ± 0.47%
Acc: 98.04 ± 0.21%
Miss: 0.00 ± 0.00%","Cov: 32.74 ± 0.48%
Acc: 97.80 ± 0.24%
Miss: 0.00 ± 0.00%","Cov: 32.90 ± 0.48%
Acc: 97.36 ± 0.24%
Miss: 0.00 ± 0.00%","Cov: 33.11 ± 0.48%
Acc: 96.77 ± 0.25%
Miss: 0.00 ± 0.00%","Cov: 45.35 ± 0.52%
Acc: 97.16 ± 0.22%
Miss: 0.00 ± 0.00%","Cov: 52.60 ± 0.45%
Acc: 97.33 ± 0.22%
Miss: 0.00 ± 0.00%","Cov: 60.98 ± 0.46%
Acc: 97.36 ± 0.21%
Miss: 0.00 ± 0.00%","Cov: 71.41 ± 0.37%
Acc: 97.30 ± 0.17%
Miss: 0.00 ± 0.00%","Cov: 81.53 ± 0.39%
Acc: 97.30 ± 0.17%
Miss: 0.00 ± 0.00%","Cov: 92.31 ± 0.27%
Acc: 96.96 ± 0.16%
Miss: 0.00 ± 0.00%","Cov: 97.58 ± 0.15%
Acc: 96.73 ± 0.15%
Miss: 0.00 ± 0.00%","Cov: 99.96 ± 0.02%
Acc: 96.67 ± 0.15%
Miss: 0.00 ± 0.00%"
Class_7,"Cov: 7.53 ± 0.34%
Acc: 76.48 ± 2.16%
Miss: 0.00 ± 0.00%","Cov: 13.20 ± 0.37%
Acc: 75.49 ± 1.69%
Miss: 0.00 ± 0.00%","Cov: 13.55 ± 0.39%
Acc: 73.56 ± 1.64%
Miss: 0.00 ± 0.00%","Cov: 21.53 ± 0.44%
Acc: 78.92 ± 1.17%
Miss: 0.38 ± 0.09%","Cov: 32.49 ± 0.54%
Acc: 82.45 ± 1.00%
Miss: 0.38 ± 0.07%","Cov: 42.82 ± 0.57%
Acc: 84.23 ± 0.87%
Miss: 0.20 ± 0.06%","Cov: 53.12 ± 0.58%
Acc: 85.38 ± 0.68%
Miss: 0.07 ± 0.04%","Cov: 63.23 ± 0.55%
Acc: 86.09 ± 0.60%
Miss: 0.11 ± 0.05%","Cov: 74.02 ± 0.49%
Acc: 86.22 ± 0.58%
Miss: 0.08 ± 0.04%","Cov: 84.72 ± 0.46%
Acc: 85.50 ± 0.48%
Miss: 0.12 ± 0.04%","Cov: 95.26 ± 0.25%
Acc: 83.89 ± 0.46%
Miss: 0.03 ± 0.03%","Cov: 98.68 ± 0.14%
Acc: 83.45 ± 0.42%
Miss: 0.07 ± 0.03%","Cov: 99.92 ± 0.03%
Acc: 83.16 ± 0.47%
Miss: 0.00 ± 0.00%"
Class_8,"Cov: 9.72 ± 0.58%
Acc: 67.66 ± 3.62%
Miss: 0.00 ± 0.00%","Cov: 16.16 ± 0.78%
Acc: 67.95 ± 2.85%
Miss: 0.00 ± 0.00%","Cov: 16.54 ± 0.77%
Acc: 66.27 ± 2.68%
Miss: 0.00 ± 0.00%","Cov: 25.20 ± 0.86%
Acc: 70.00 ± 1.99%
Miss: 0.11 ± 0.07%","Cov: 36.60 ± 1.02%
Acc: 73.15 ± 1.54%
Miss: 0.11 ± 0.07%","Cov: 45.68 ± 1.18%
Acc: 77.17 ± 1.48%
Miss: 0.49 ± 0.15%","Cov: 56.28 ± 1.03%
Acc: 78.27 ± 1.37%
Miss: 0.44 ± 0.13%","Cov: 65.86 ± 1.09%
Acc: 77.79 ± 1.20%
Miss: 0.90 ± 0.21%","Cov: 75.75 ± 0.95%
Acc: 76.64 ± 1.07%
Miss: 1.52 ± 0.24%","Cov: 84.65 ± 0.77%
Acc: 73.33 ± 1.10%
Miss: 2.63 ± 0.37%","Cov: 93.88 ± 0.43%
Acc: 67.47 ± 1.27%
Miss: 2.36 ± 0.32%","Cov: 98.57 ± 0.29%
Acc: 64.49 ± 1.24%
Miss: 0.74 ± 0.20%","Cov: 100.00 ± 0.00%
Acc: 63.67 ± 1.24%
Miss: 0.00 ± 0.00%"
Class_9,"Cov: 4.96 ± 0.39%
Acc: 74.04 ± 2.95%
Miss: 0.00 ± 0.00%","Cov: 8.44 ± 0.51%
Acc: 76.52 ± 2.38%
Miss: 0.00 ± 0.00%","Cov: 11.06 ± 0.58%
Acc: 82.25 ± 1.75%
Miss: 0.00 ± 0.00%","Cov: 20.02 ± 0.71%
Acc: 89.43 ± 1.14%
Miss: 0.39 ± 0.10%","Cov: 30.81 ± 0.77%
Acc: 90.82 ± 0.89%
Miss: 0.35 ± 0.10%","Cov: 40.24 ± 0.83%
Acc: 90.43 ± 0.80%
Miss: 0.83 ± 0.16%","Cov: 50.39 ± 0.78%
Acc: 90.45 ± 0.74%
Miss: 1.34 ± 0.19%","Cov: 61.08 ± 0.73%
Acc: 88.33 ± 0.84%
Miss: 1.33 ± 0.15%","Cov: 71.93 ± 0.68%
Acc: 86.18 ± 0.73%
Miss: 1.87 ± 0.23%","Cov: 83.24 ± 0.51%
Acc: 82.62 ± 0.77%
Miss: 1.85 ± 0.21%","Cov: 93.26 ± 0.35%
Acc: 78.13 ± 0.71%
Miss: 1.40 ± 0.19%","Cov: 97.99 ± 0.24%
Acc: 75.48 ± 0.72%
Miss: 0.28 ± 0.09%","Cov: 99.91 ± 0.05%
Acc: 74.36 ± 0.69%
Miss: 0.05 ± 0.03%"
Class_10,"Cov: 7.01 ± 0.25%
Acc: 87.06 ± 1.29%
Miss: 0.00 ± 0.00%","Cov: 12.50 ± 0.35%
Acc: 87.79 ± 0.99%
Miss: 0.00 ± 0.00%","Cov: 12.68 ± 0.34%
Acc: 86.56 ± 1.05%
Miss: 0.00 ± 0.00%","Cov: 21.30 ± 0.36%
Acc: 91.29 ± 0.71%
Miss: 0.16 ± 0.06%","Cov: 31.15 ± 0.43%
Acc: 92.63 ± 0.56%
Miss: 0.22 ± 0.07%","Cov: 41.41 ± 0.52%
Acc: 93.09 ± 0.51%
Miss: 0.12 ± 0.03%","Cov: 51.95 ± 0.52%
Acc: 93.29 ± 0.38%
Miss: 0.10 ± 0.03%","Cov: 62.41 ± 0.54%
Acc: 92.68 ± 0.38%
Miss: 0.08 ± 0.03%","Cov: 73.66 ± 0.43%
Acc: 91.44 ± 0.35%
Miss: 0.03 ± 0.02%","Cov: 84.81 ± 0.33%
Acc: 90.40 ± 0.33%
Miss: 0.02 ± 0.02%","Cov: 95.35 ± 0.23%
Acc: 88.31 ± 0.30%
Miss: 0.08 ± 0.03%","Cov: 98.79 ± 0.12%
Acc: 87.36 ± 0.29%
Miss: 0.11 ± 0.04%","Cov: 99.98 ± 0.01%
Acc: 87.02 ± 0.30%
Miss: 0.00 ± 0.00%"
Class_11,"Cov: 11.40 ± 0.39%
Acc: 88.97 ± 1.09%
Miss: 0.00 ± 0.00%","Cov: 17.28 ± 0.54%
Acc: 87.50 ± 0.98%
Miss: 0.00 ± 0.00%","Cov: 17.51 ± 0.53%
Acc: 86.31 ± 0.97%
Miss: 0.00 ± 0.00%","Cov: 22.59 ± 0.54%
Acc: 84.25 ± 0.86%
Miss: 0.03 ± 0.03%","Cov: 33.05 ± 0.63%
Acc: 85.12 ± 0.75%
Miss: 0.07 ± 0.04%","Cov: 44.28 ± 0.69%
Acc: 85.94 ± 0.67%
Miss: 0.02 ± 0.02%","Cov: 54.74 ± 0.63%
Acc: 86.42 ± 0.58%
Miss: 0.07 ± 0.04%","Cov: 64.82 ± 0.62%
Acc: 85.18 ± 0.56%
Miss: 0.17 ± 0.06%","Cov: 75.16 ± 0.57%
Acc: 84.34 ± 0.49%
Miss: 0.18 ± 0.06%","Cov: 86.63 ± 0.45%
Acc: 82.79 ± 0.47%
Miss: 0.14 ± 0.04%","Cov: 95.98 ± 0.22%
Acc: 80.51 ± 0.47%
Miss: 0.14 ± 0.04%","Cov: 99.03 ± 0.13%
Acc: 79.78 ± 0.49%
Miss: 0.08 ± 0.04%","Cov: 99.96 ± 0.03%
Acc: 79.28 ± 0.45%
Miss: 0.01 ± 0.01%"
Class_12,"Cov: 10.21 ± 0.68%
Acc: 91.89 ± 1.82%
Miss: 0.00 ± 0.00%","Cov: 13.47 ± 0.83%
Acc: 89.87 ± 1.62%
Miss: 0.00 ± 0.00%","Cov: 13.64 ± 0.83%
Acc: 88.72 ± 1.65%
Miss: 0.00 ± 0.00%","Cov: 22.40 ± 0.92%
Acc: 83.28 ± 1.80%
Miss: 0.49 ± 0.20%","Cov: 32.61 ± 1.00%
Acc: 82.70 ± 1.41%
Miss: 0.85 ± 0.26%","Cov: 44.36 ± 1.02%
Acc: 81.52 ± 1.36%
Miss: 0.23 ± 0.10%","Cov: 54.82 ± 0.97%
Acc: 81.39 ± 1.18%
Miss: 0.17 ± 0.09%","Cov: 65.31 ± 0.92%
Acc: 81.73 ± 0.96%
Miss: 0.38 ± 0.14%","Cov: 75.60 ± 0.81%
Acc: 81.85 ± 0.92%
Miss: 0.20 ± 0.11%","Cov: 86.55 ± 0.68%
Acc: 81.11 ± 0.83%
Miss: 0.06 ± 0.05%","Cov: 96.03 ± 0.38%
Acc: 79.65 ± 0.75%
Miss: 0.01 ± 0.02%","Cov: 98.76 ± 0.21%
Acc: 78.57 ± 0.81%
Miss: 0.00 ± 0.00%","Cov: 99.92 ± 0.06%
Acc: 78.12 ± 0.77%
Miss: 0.00 ± 0.00%"
Class_13,"Cov: 8.75 ± 0.36%
Acc: 83.50 ± 2.24%
Miss: 0.00 ± 0.00%","Cov: 14.82 ± 0.48%
Acc: 80.37 ± 1.67%
Miss: 0.00 ± 0.00%","Cov: 15.35 ± 0.48%
Acc: 77.59 ± 1.67%
Miss: 0.00 ± 0.00%","Cov: 22.56 ± 0.53%
Acc: 80.05 ± 1.36%
Miss: 0.08 ± 0.04%","Cov: 33.25 ± 0.69%
Acc: 82.78 ± 0.87%
Miss: 0.06 ± 0.04%","Cov: 43.17 ± 0.72%
Acc: 84.27 ± 0.70%
Miss: 0.14 ± 0.06%","Cov: 53.79 ± 0.85%
Acc: 85.39 ± 0.64%
Miss: 0.12 ± 0.06%","Cov: 64.71 ± 0.76%
Acc: 85.30 ± 0.60%
Miss: 0.06 ± 0.04%","Cov: 75.82 ± 0.65%
Acc: 85.08 ± 0.65%
Miss: 0.08 ± 0.04%","Cov: 86.64 ± 0.56%
Acc: 83.41 ± 0.68%
Miss: 0.29 ± 0.08%","Cov: 95.59 ± 0.31%
Acc: 79.34 ± 0.69%
Miss: 0.68 ± 0.13%","Cov: 98.51 ± 0.16%
Acc: 77.54 ± 0.77%
Miss: 0.50 ± 0.10%","Cov: 99.91 ± 0.04%
Acc: 76.53 ± 0.74%
Miss: 0.06 ± 0.03%"
Class_14,"Cov: 8.88 ± 0.49%
Acc: 79.48 ± 2.38%
Miss: 0.00 ± 0.00%","Cov: 14.17 ± 0.49%
Acc: 75.69 ± 1.81%
Miss: 0.00 ± 0.00%","Cov: 14.98 ± 0.48%
Acc: 71.63 ± 1.95%
Miss: 0.00 ± 0.00%","Cov: 22.46 ± 0.59%
Acc: 78.02 ± 1.48%
Miss: 0.18 ± 0.07%","Cov: 31.07 ± 0.75%
Acc: 80.55 ± 1.29%
Miss: 0.34 ± 0.10%","Cov: 41.47 ± 0.95%
Acc: 82.85 ± 0.97%
Miss: 0.23 ± 0.09%","Cov: 51.65 ± 0.99%
Acc: 84.92 ± 0.83%
Miss: 0.26 ± 0.09%","Cov: 61.48 ± 0.94%
Acc: 84.83 ± 0.76%
Miss: 0.47 ± 0.11%","Cov: 72.41 ± 0.97%
Acc: 83.64 ± 0.72%
Miss: 0.73 ± 0.15%","Cov: 84.59 ± 0.71%
Acc: 80.31 ± 0.73%
Miss: 0.83 ± 0.13%","Cov: 95.21 ± 0.32%
Acc: 76.46 ± 0.81%
Miss: 0.88 ± 0.12%","Cov: 98.67 ± 0.19%
Acc: 74.31 ± 0.76%
Miss: 0.38 ± 0.09%","Cov: 99.99 ± 0.02%
Acc: 73.39 ± 0.80%
Miss: 0.00 ± 0.00%"
Class_15,"Cov: 3.49 ± 0.26%
Acc: 74.73 ± 4.08%
Miss: 0.00 ± 0.00%","Cov: 5.41 ± 0.38%
Acc: 69.38 ± 3.35%
Miss: 0.00 ± 0.00%","Cov: 10.12 ± 0.49%
Acc: 81.67 ± 2.18%
Miss: 0.41 ± 0.10%","Cov: 20.12 ± 0.72%
Acc: 87.14 ± 1.24%
Miss: 0.39 ± 0.10%","Cov: 31.11 ± 0.85%
Acc: 89.53 ± 0.88%
Miss: 0.23 ± 0.09%","Cov: 41.67 ± 0.67%
Acc: 90.55 ± 0.72%
Miss: 0.21 ± 0.08%","Cov: 51.82 ± 0.68%
Acc: 91.25 ± 0.62%
Miss: 0.48 ± 0.11%","Cov: 62.97 ± 0.65%
Acc: 90.79 ± 0.60%
Miss: 0.24 ± 0.09%","Cov: 73.11 ± 0.59%
Acc: 90.25 ± 0.53%
Miss: 0.32 ± 0.10%","Cov: 83.23 ± 0.40%
Acc: 89.07 ± 0.54%
Miss: 0.32 ± 0.09%","Cov: 93.99 ± 0.39%
Acc: 86.31 ± 0.55%
Miss: 0.32 ± 0.09%","Cov: 97.96 ± 0.21%
Acc: 84.56 ± 0.49%
Miss: 0.52 ± 0.09%","Cov: 99.78 ± 0.07%
Acc: 83.60 ± 0.51%
Miss: 0.04 ± 0.03%"
Class_16,"Cov: 17.17 ± 0.50%
Acc: 94.35 ± 0.81%
Miss: 0.00 ± 0.00%","Cov: 26.30 ± 0.56%
Acc: 94.63 ± 0.70%
Miss: 0.00 ± 0.00%","Cov: 26.62 ± 0.58%
Acc: 93.51 ± 0.78%
Miss: 0.00 ± 0.00%","Cov: 27.25 ± 0.56%
Acc: 89.32 ± 1.05%
Miss: 0.00 ± 0.00%","Cov: 33.78 ± 0.62%
Acc: 86.99 ± 0.91%
Miss: 0.00 ± 0.00%","Cov: 44.44 ± 0.66%
Acc: 89.26 ± 0.72%
Miss: 0.02 ± 0.03%","Cov: 53.50 ± 0.75%
Acc: 90.21 ± 0.63%
Miss: 0.07 ± 0.04%","Cov: 63.22 ± 0.73%
Acc: 90.33 ± 0.54%
Miss: 0.05 ± 0.03%","Cov: 74.14 ± 0.69%
Acc: 89.90 ± 0.49%
Miss: 0.12 ± 0.05%","Cov: 85.82 ± 0.58%
Acc: 88.03 ± 0.48%
Miss: 0.02 ± 0.02%","Cov: 95.10 ± 0.32%
Acc: 86.30 ± 0.47%
Miss: 0.09 ± 0.04%","Cov: 98.64 ± 0.15%
Acc: 84.68 ± 0.52%
Miss: 0.22 ± 0.07%","Cov: 99.96 ± 0.03%
Acc: 83.90 ± 0.53%
Miss: 0.01 ± 0.01%"
Class_17,"Cov: 11.45 ± 0.58%
Acc: 94.26 ± 1.07%
Miss: 0.00 ± 0.00%","Cov: 20.85 ± 0.72%
Acc: 93.41 ± 0.92%
Miss: 0.00 ± 0.00%","Cov: 21.28 ± 0.73%
Acc: 91.52 ± 1.08%
Miss: 0.00 ± 0.00%","Cov: 25.17 ± 0.71%
Acc: 87.59 ± 1.56%
Miss: 0.00 ± 0.00%","Cov: 33.65 ± 0.63%
Acc: 86.57 ± 1.20%
Miss: 0.05 ± 0.04%","Cov: 43.53 ± 0.72%
Acc: 85.64 ± 1.04%
Miss: 0.00 ± 0.00%","Cov: 53.53 ± 0.84%
Acc: 84.66 ± 0.83%
Miss: 0.04 ± 0.03%","Cov: 63.26 ± 0.71%
Acc: 85.52 ± 0.83%
Miss: 0.04 ± 0.03%","Cov: 74.01 ± 0.65%
Acc: 85.56 ± 0.85%
Miss: 0.00 ± 0.00%","Cov: 85.33 ± 0.59%
Acc: 85.39 ± 0.65%
Miss: 0.00 ± 0.00%","Cov: 95.46 ± 0.30%
Acc: 84.14 ± 0.62%
Miss: 0.04 ± 0.04%","Cov: 98.94 ± 0.17%
Acc: 83.02 ± 0.67%
Miss: 0.06 ± 0.04%","Cov: 99.97 ± 0.03%
Acc: 82.42 ± 0.66%
Miss: 0.00 ± 0.00%"
