,Percentile_1,Percentile_5,Percentile_10,Percentile_20,Percentile_30,Percentile_40,Percentile_50,Percentile_60,Percentile_70,Percentile_80,Percentile_90,Percentile_95,Percentile_99
Total,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%
Miss: 0.00 ± 0.00%","Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%
Miss: 0.00 ± 0.00%","Cov: 20.13 ± 0.14%
Acc: 86.01 ± 0.25%
Miss: 0.04 ± 0.00%","Cov: 26.42 ± 0.16%
Acc: 84.27 ± 0.24%
Miss: 0.19 ± 0.02%","Cov: 34.34 ± 0.18%
Acc: 83.98 ± 0.25%
Miss: 0.26 ± 0.02%","Cov: 43.86 ± 0.21%
Acc: 83.58 ± 0.21%
Miss: 0.33 ± 0.02%","Cov: 53.72 ± 0.17%
Acc: 83.10 ± 0.18%
Miss: 0.47 ± 0.03%","Cov: 63.49 ± 0.16%
Acc: 82.24 ± 0.16%
Miss: 0.61 ± 0.03%","Cov: 73.56 ± 0.13%
Acc: 81.19 ± 0.15%
Miss: 0.57 ± 0.02%","Cov: 83.00 ± 0.12%
Acc: 80.34 ± 0.14%
Miss: 0.46 ± 0.03%","Cov: 92.05 ± 0.09%
Acc: 79.57 ± 0.13%
Miss: 0.27 ± 0.02%","Cov: 96.15 ± 0.07%
Acc: 79.18 ± 0.14%
Miss: 0.10 ± 0.01%","Cov: 99.32 ± 0.03%
Acc: 78.96 ± 0.13%
Miss: 0.02 ± 0.01%"
Class_0,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%
Miss: 0.00 ± 0.00%","Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%
Miss: 0.00 ± 0.00%","Cov: 18.46 ± 0.61%
Acc: 89.05 ± 1.16%
Miss: 0.00 ± 0.00%","Cov: 23.23 ± 0.70%
Acc: 81.22 ± 1.06%
Miss: 0.04 ± 0.03%","Cov: 33.00 ± 0.84%
Acc: 78.93 ± 0.98%
Miss: 0.19 ± 0.07%","Cov: 43.31 ± 0.92%
Acc: 76.66 ± 1.04%
Miss: 0.26 ± 0.07%","Cov: 53.23 ± 0.80%
Acc: 76.53 ± 0.96%
Miss: 0.30 ± 0.08%","Cov: 63.04 ± 0.71%
Acc: 76.03 ± 0.89%
Miss: 0.48 ± 0.09%","Cov: 72.58 ± 0.55%
Acc: 75.61 ± 0.76%
Miss: 0.66 ± 0.14%","Cov: 82.24 ± 0.47%
Acc: 75.04 ± 0.60%
Miss: 0.59 ± 0.09%","Cov: 91.68 ± 0.37%
Acc: 74.30 ± 0.60%
Miss: 0.24 ± 0.07%","Cov: 95.90 ± 0.27%
Acc: 74.12 ± 0.60%
Miss: 0.14 ± 0.05%","Cov: 99.42 ± 0.12%
Acc: 73.55 ± 0.59%
Miss: 0.01 ± 0.02%"
Class_1,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%
Miss: 0.00 ± 0.00%","Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%
Miss: 0.00 ± 0.00%","Cov: 39.40 ± 0.73%
Acc: 95.50 ± 0.49%
Miss: 0.00 ± 0.00%","Cov: 40.66 ± 0.78%
Acc: 89.48 ± 0.95%
Miss: 0.00 ± 0.00%","Cov: 42.03 ± 0.75%
Acc: 85.35 ± 1.70%
Miss: 0.00 ± 0.00%","Cov: 52.73 ± 0.76%
Acc: 85.32 ± 0.77%
Miss: 0.01 ± 0.01%","Cov: 60.40 ± 0.62%
Acc: 84.29 ± 0.82%
Miss: 0.00 ± 0.00%","Cov: 67.47 ± 0.55%
Acc: 84.04 ± 0.65%
Miss: 0.01 ± 0.01%","Cov: 77.66 ± 0.49%
Acc: 82.41 ± 0.65%
Miss: 0.02 ± 0.02%","Cov: 87.03 ± 0.41%
Acc: 81.92 ± 0.57%
Miss: 0.08 ± 0.03%","Cov: 94.61 ± 0.32%
Acc: 81.25 ± 0.70%
Miss: 0.00 ± 0.00%","Cov: 97.19 ± 0.25%
Acc: 80.96 ± 0.61%
Miss: 0.01 ± 0.01%","Cov: 99.35 ± 0.12%
Acc: 81.04 ± 0.67%
Miss: 0.00 ± 0.00%"
Class_2,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%
Miss: 0.00 ± 0.00%","Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%
Miss: 0.00 ± 0.00%","Cov: 13.04 ± 0.69%
Acc: 69.01 ± 2.34%
Miss: 0.00 ± 0.00%","Cov: 22.30 ± 0.89%
Acc: 73.97 ± 1.74%
Miss: 0.96 ± 0.18%","Cov: 32.46 ± 0.92%
Acc: 74.90 ± 1.51%
Miss: 0.64 ± 0.13%","Cov: 42.08 ± 0.97%
Acc: 74.58 ± 1.10%
Miss: 0.93 ± 0.16%","Cov: 52.29 ± 0.92%
Acc: 74.42 ± 1.06%
Miss: 1.51 ± 0.20%","Cov: 61.62 ± 0.84%
Acc: 72.58 ± 0.99%
Miss: 2.07 ± 0.28%","Cov: 73.29 ± 0.80%
Acc: 69.94 ± 0.94%
Miss: 1.69 ± 0.25%","Cov: 82.71 ± 0.62%
Acc: 68.42 ± 1.01%
Miss: 1.36 ± 0.19%","Cov: 91.22 ± 0.45%
Acc: 67.26 ± 0.89%
Miss: 1.01 ± 0.14%","Cov: 96.07 ± 0.32%
Acc: 65.99 ± 0.88%
Miss: 0.47 ± 0.11%","Cov: 99.29 ± 0.15%
Acc: 65.43 ± 0.91%
Miss: 0.10 ± 0.06%"
Class_3,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%
Miss: 0.00 ± 0.00%","Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%
Miss: 0.00 ± 0.00%","Cov: 14.63 ± 0.67%
Acc: 80.81 ± 2.15%
Miss: 0.42 ± 0.11%","Cov: 22.42 ± 0.69%
Acc: 81.93 ± 1.53%
Miss: 0.75 ± 0.16%","Cov: 32.39 ± 0.83%
Acc: 79.49 ± 1.36%
Miss: 1.11 ± 0.19%","Cov: 42.25 ± 0.91%
Acc: 76.10 ± 1.32%
Miss: 1.38 ± 0.22%","Cov: 51.62 ± 1.03%
Acc: 73.16 ± 1.17%
Miss: 1.95 ± 0.26%","Cov: 61.40 ± 0.95%
Acc: 70.35 ± 1.09%
Miss: 2.09 ± 0.26%","Cov: 71.48 ± 0.83%
Acc: 67.15 ± 0.98%
Miss: 1.60 ± 0.22%","Cov: 81.38 ± 0.80%
Acc: 65.44 ± 0.97%
Miss: 1.72 ± 0.26%","Cov: 90.38 ± 0.53%
Acc: 63.71 ± 0.86%
Miss: 1.35 ± 0.22%","Cov: 95.92 ± 0.38%
Acc: 62.49 ± 0.79%
Miss: 0.17 ± 0.09%","Cov: 99.30 ± 0.14%
Acc: 61.57 ± 0.84%
Miss: 0.01 ± 0.02%"
Class_4,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%
Miss: 0.00 ± 0.00%","Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%
Miss: 0.00 ± 0.00%","Cov: 20.37 ± 1.14%
Acc: 49.32 ± 2.79%
Miss: 0.00 ± 0.00%","Cov: 28.42 ± 1.14%
Acc: 50.08 ± 2.28%
Miss: 0.19 ± 0.10%","Cov: 39.34 ± 1.32%
Acc: 55.93 ± 1.99%
Miss: 0.14 ± 0.09%","Cov: 48.54 ± 1.32%
Acc: 58.05 ± 1.78%
Miss: 0.17 ± 0.11%","Cov: 56.44 ± 1.27%
Acc: 57.62 ± 1.68%
Miss: 0.56 ± 0.18%","Cov: 66.95 ± 1.33%
Acc: 58.24 ± 1.47%
Miss: 0.37 ± 0.18%","Cov: 75.22 ± 1.22%
Acc: 58.81 ± 1.52%
Miss: 0.42 ± 0.16%","Cov: 84.25 ± 0.81%
Acc: 58.38 ± 1.33%
Miss: 0.63 ± 0.19%","Cov: 92.54 ± 0.73%
Acc: 58.20 ± 1.27%
Miss: 0.12 ± 0.08%","Cov: 96.76 ± 0.37%
Acc: 58.59 ± 1.18%
Miss: 0.00 ± 0.00%","Cov: 99.42 ± 0.21%
Acc: 58.35 ± 1.18%
Miss: 0.00 ± 0.00%"
Class_5,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%
Miss: 0.00 ± 0.00%","Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%
Miss: 0.00 ± 0.00%","Cov: 14.43 ± 0.45%
Acc: 82.83 ± 1.24%
Miss: 0.00 ± 0.00%","Cov: 21.63 ± 0.53%
Acc: 83.75 ± 1.13%
Miss: 0.16 ± 0.05%","Cov: 31.12 ± 0.57%
Acc: 85.00 ± 0.84%
Miss: 0.17 ± 0.05%","Cov: 42.66 ± 0.69%
Acc: 83.90 ± 0.75%
Miss: 0.32 ± 0.09%","Cov: 53.14 ± 0.72%
Acc: 83.48 ± 0.71%
Miss: 0.22 ± 0.08%","Cov: 63.62 ± 0.76%
Acc: 82.22 ± 0.67%
Miss: 0.43 ± 0.10%","Cov: 73.42 ± 0.64%
Acc: 80.50 ± 0.65%
Miss: 0.47 ± 0.10%","Cov: 82.65 ± 0.58%
Acc: 79.42 ± 0.64%
Miss: 0.32 ± 0.08%","Cov: 91.74 ± 0.41%
Acc: 78.53 ± 0.62%
Miss: 0.13 ± 0.05%","Cov: 95.51 ± 0.31%
Acc: 78.68 ± 0.59%
Miss: 0.04 ± 0.03%","Cov: 99.24 ± 0.11%
Acc: 78.57 ± 0.56%
Miss: 0.00 ± 0.00%"
Class_6,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%
Miss: 0.00 ± 0.00%","Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%
Miss: 0.00 ± 0.00%","Cov: 41.20 ± 0.55%
Acc: 99.06 ± 0.15%
Miss: 0.00 ± 0.00%","Cov: 41.46 ± 0.57%
Acc: 98.53 ± 0.19%
Miss: 0.00 ± 0.00%","Cov: 41.86 ± 0.56%
Acc: 97.55 ± 0.22%
Miss: 0.00 ± 0.00%","Cov: 42.23 ± 0.55%
Acc: 96.60 ± 0.28%
Miss: 0.00 ± 0.00%","Cov: 52.27 ± 0.49%
Acc: 96.76 ± 0.26%
Miss: 0.00 ± 0.00%","Cov: 61.54 ± 0.46%
Acc: 96.58 ± 0.27%
Miss: 0.00 ± 0.00%","Cov: 72.12 ± 0.37%
Acc: 96.32 ± 0.22%
Miss: 0.00 ± 0.00%","Cov: 82.15 ± 0.38%
Acc: 96.31 ± 0.22%
Miss: 0.00 ± 0.00%","Cov: 91.53 ± 0.26%
Acc: 96.39 ± 0.19%
Miss: 0.00 ± 0.00%","Cov: 95.53 ± 0.21%
Acc: 96.46 ± 0.18%
Miss: 0.00 ± 0.00%","Cov: 99.23 ± 0.09%
Acc: 96.43 ± 0.18%
Miss: 0.00 ± 0.00%"
Class_7,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%
Miss: 0.00 ± 0.00%","Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%
Miss: 0.00 ± 0.00%","Cov: 12.86 ± 0.37%
Acc: 79.47 ± 1.50%
Miss: 0.00 ± 0.00%","Cov: 21.49 ± 0.45%
Acc: 83.64 ± 1.04%
Miss: 0.43 ± 0.09%","Cov: 32.58 ± 0.51%
Acc: 83.71 ± 0.93%
Miss: 0.39 ± 0.09%","Cov: 43.15 ± 0.59%
Acc: 84.12 ± 0.80%
Miss: 0.23 ± 0.05%","Cov: 53.34 ± 0.60%
Acc: 84.51 ± 0.69%
Miss: 0.31 ± 0.08%","Cov: 63.29 ± 0.52%
Acc: 83.92 ± 0.60%
Miss: 0.47 ± 0.10%","Cov: 72.53 ± 0.44%
Acc: 83.84 ± 0.58%
Miss: 0.37 ± 0.08%","Cov: 81.73 ± 0.45%
Acc: 83.42 ± 0.52%
Miss: 0.25 ± 0.07%","Cov: 91.59 ± 0.37%
Acc: 82.77 ± 0.47%
Miss: 0.26 ± 0.06%","Cov: 95.88 ± 0.28%
Acc: 82.55 ± 0.49%
Miss: 0.10 ± 0.04%","Cov: 99.28 ± 0.10%
Acc: 82.30 ± 0.48%
Miss: 0.02 ± 0.02%"
Class_8,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%
Miss: 0.00 ± 0.00%","Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%
Miss: 0.00 ± 0.00%","Cov: 16.30 ± 0.80%
Acc: 73.77 ± 2.17%
Miss: 0.00 ± 0.00%","Cov: 25.64 ± 0.84%
Acc: 73.36 ± 1.74%
Miss: 0.67 ± 0.18%","Cov: 36.05 ± 1.04%
Acc: 74.30 ± 1.41%
Miss: 0.40 ± 0.14%","Cov: 46.73 ± 1.17%
Acc: 74.89 ± 1.44%
Miss: 0.52 ± 0.19%","Cov: 56.74 ± 1.14%
Acc: 72.02 ± 1.16%
Miss: 0.75 ± 0.19%","Cov: 66.17 ± 1.12%
Acc: 69.98 ± 1.27%
Miss: 0.96 ± 0.20%","Cov: 75.32 ± 0.97%
Acc: 67.48 ± 1.39%
Miss: 0.85 ± 0.18%","Cov: 84.01 ± 0.81%
Acc: 66.09 ± 1.25%
Miss: 0.88 ± 0.21%","Cov: 91.80 ± 0.60%
Acc: 64.48 ± 1.26%
Miss: 0.46 ± 0.17%","Cov: 95.96 ± 0.32%
Acc: 63.32 ± 1.25%
Miss: 0.36 ± 0.14%","Cov: 99.51 ± 0.15%
Acc: 62.29 ± 1.27%
Miss: 0.12 ± 0.07%"
