,Percentile_1,Percentile_5,Percentile_10,Percentile_20,Percentile_30,Percentile_40,Percentile_50,Percentile_60,Percentile_70,Percentile_80,Percentile_90,Percentile_95,Percentile_99
Total,"Cov: 8.81 ± 0.03%
Acc: 85.52 ± 0.37%","Cov: 13.62 ± 0.04%
Acc: 81.12 ± 1.00%","Cov: 17.12 ± 0.06%
Acc: 80.05 ± 0.81%","Cov: 24.33 ± 0.06%
Acc: 81.26 ± 0.51%","Cov: 34.73 ± 0.07%
Acc: 83.33 ± 0.37%","Cov: 44.18 ± 0.06%
Acc: 84.83 ± 0.24%","Cov: 54.55 ± 0.06%
Acc: 85.15 ± 0.14%","Cov: 64.97 ± 0.07%
Acc: 84.50 ± 0.09%","Cov: 76.69 ± 0.06%
Acc: 82.48 ± 0.06%","Cov: 88.74 ± 0.05%
Acc: 79.84 ± 0.06%","Cov: 97.59 ± 0.02%
Acc: 77.63 ± 0.05%","Cov: 99.65 ± 0.01%
Acc: 77.51 ± 0.05%","Cov: 99.99 ± 0.00%
Acc: 77.68 ± 0.05%"
Class_0,"Cov: 6.65 ± 0.10%
Acc: 64.66 ± 1.32%","Cov: 10.45 ± 0.11%
Acc: 57.25 ± 0.86%","Cov: 16.25 ± 0.14%
Acc: 63.74 ± 0.69%","Cov: 25.00 ± 0.18%
Acc: 70.84 ± 0.51%","Cov: 35.12 ± 0.21%
Acc: 72.59 ± 0.41%","Cov: 45.28 ± 0.17%
Acc: 75.02 ± 0.42%","Cov: 55.10 ± 0.21%
Acc: 75.64 ± 0.34%","Cov: 66.04 ± 0.21%
Acc: 75.53 ± 0.34%","Cov: 78.79 ± 0.18%
Acc: 74.09 ± 0.34%","Cov: 89.89 ± 0.14%
Acc: 71.99 ± 0.32%","Cov: 97.82 ± 0.06%
Acc: 71.35 ± 0.27%","Cov: 99.59 ± 0.02%
Acc: 70.92 ± 0.27%","Cov: 99.99 ± 0.01%
Acc: 70.73 ± 0.28%"
Class_1,"Cov: 16.64 ± 0.12%
Acc: 75.51 ± 2.90%","Cov: 36.20 ± 0.18%
Acc: 70.54 ± 5.62%","Cov: 40.40 ± 0.64%
Acc: 65.31 ± 4.98%","Cov: 46.05 ± 0.74%
Acc: 63.64 ± 3.99%","Cov: 47.40 ± 0.76%
Acc: 62.03 ± 3.86%","Cov: 53.43 ± 0.22%
Acc: 75.32 ± 2.83%","Cov: 59.33 ± 0.22%
Acc: 78.06 ± 1.89%","Cov: 68.01 ± 0.22%
Acc: 79.50 ± 1.02%","Cov: 80.03 ± 0.19%
Acc: 79.63 ± 0.52%","Cov: 91.47 ± 0.10%
Acc: 79.51 ± 0.43%","Cov: 98.03 ± 0.07%
Acc: 78.30 ± 0.32%","Cov: 99.66 ± 0.03%
Acc: 77.55 ± 0.20%","Cov: 99.97 ± 0.01%
Acc: 77.43 ± 0.21%"
Class_2,"Cov: 6.88 ± 0.13%
Acc: 63.64 ± 1.23%","Cov: 10.63 ± 0.16%
Acc: 60.56 ± 1.01%","Cov: 14.14 ± 0.20%
Acc: 63.60 ± 0.94%","Cov: 25.15 ± 0.24%
Acc: 69.62 ± 0.73%","Cov: 35.14 ± 0.30%
Acc: 73.57 ± 0.50%","Cov: 45.82 ± 0.31%
Acc: 76.67 ± 0.44%","Cov: 56.87 ± 0.30%
Acc: 77.96 ± 0.33%","Cov: 66.64 ± 0.32%
Acc: 77.08 ± 0.34%","Cov: 78.90 ± 0.28%
Acc: 75.23 ± 0.35%","Cov: 89.69 ± 0.18%
Acc: 70.85 ± 0.34%","Cov: 97.76 ± 0.11%
Acc: 66.54 ± 0.34%","Cov: 99.75 ± 0.03%
Acc: 65.10 ± 0.33%","Cov: 100.00 ± 0.00%
Acc: 65.00 ± 0.34%"
Class_3,"Cov: 4.92 ± 0.14%
Acc: 63.79 ± 1.65%","Cov: 9.27 ± 0.21%
Acc: 64.07 ± 1.02%","Cov: 12.57 ± 0.27%
Acc: 66.07 ± 1.00%","Cov: 21.45 ± 0.28%
Acc: 73.72 ± 0.72%","Cov: 31.32 ± 0.30%
Acc: 76.79 ± 0.63%","Cov: 41.92 ± 0.37%
Acc: 78.29 ± 0.53%","Cov: 52.91 ± 0.36%
Acc: 78.28 ± 0.51%","Cov: 63.18 ± 0.36%
Acc: 76.83 ± 0.49%","Cov: 75.92 ± 0.32%
Acc: 74.35 ± 0.44%","Cov: 88.45 ± 0.21%
Acc: 69.23 ± 0.40%","Cov: 97.58 ± 0.12%
Acc: 64.02 ± 0.43%","Cov: 99.57 ± 0.05%
Acc: 62.71 ± 0.38%","Cov: 100.00 ± 0.01%
Acc: 62.49 ± 0.39%"
Class_4,"Cov: 11.52 ± 0.58%
Acc: 67.42 ± 2.52%","Cov: 20.29 ± 0.79%
Acc: 63.84 ± 2.11%","Cov: 22.84 ± 0.78%
Acc: 56.66 ± 2.07%","Cov: 29.60 ± 0.84%
Acc: 52.62 ± 2.09%","Cov: 39.51 ± 1.03%
Acc: 61.07 ± 1.65%","Cov: 48.44 ± 1.09%
Acc: 64.10 ± 1.54%","Cov: 57.63 ± 1.01%
Acc: 65.65 ± 1.15%","Cov: 69.03 ± 1.01%
Acc: 68.10 ± 1.12%","Cov: 80.28 ± 0.89%
Acc: 68.22 ± 1.02%","Cov: 91.37 ± 0.68%
Acc: 67.06 ± 0.96%","Cov: 98.55 ± 0.21%
Acc: 67.01 ± 1.00%","Cov: 99.89 ± 0.07%
Acc: 66.72 ± 0.92%","Cov: 100.00 ± 0.00%
Acc: 66.75 ± 1.01%"
Class_5,"Cov: 4.87 ± 0.08%
Acc: 84.07 ± 0.91%","Cov: 7.96 ± 0.11%
Acc: 77.95 ± 0.82%","Cov: 13.91 ± 0.14%
Acc: 81.03 ± 0.62%","Cov: 22.35 ± 0.18%
Acc: 83.19 ± 0.44%","Cov: 34.67 ± 0.24%
Acc: 85.35 ± 0.37%","Cov: 46.04 ± 0.26%
Acc: 85.23 ± 0.37%","Cov: 56.11 ± 0.22%
Acc: 83.98 ± 0.30%","Cov: 67.12 ± 0.22%
Acc: 82.71 ± 0.29%","Cov: 78.24 ± 0.20%
Acc: 79.78 ± 0.28%","Cov: 90.42 ± 0.16%
Acc: 77.24 ± 0.26%","Cov: 98.00 ± 0.09%
Acc: 75.28 ± 0.28%","Cov: 99.78 ± 0.04%
Acc: 74.95 ± 0.29%","Cov: 99.99 ± 0.01%
Acc: 74.81 ± 0.29%"
Class_6,"Cov: 20.58 ± 0.13%
Acc: 98.45 ± 0.13%","Cov: 23.38 ± 0.14%
Acc: 97.91 ± 0.11%","Cov: 23.57 ± 0.13%
Acc: 97.10 ± 0.13%","Cov: 23.94 ± 0.14%
Acc: 95.61 ± 0.18%","Cov: 34.38 ± 0.17%
Acc: 95.98 ± 0.20%","Cov: 39.70 ± 0.17%
Acc: 95.85 ± 0.18%","Cov: 50.04 ± 0.17%
Acc: 96.39 ± 0.13%","Cov: 60.23 ± 0.20%
Acc: 96.15 ± 0.14%","Cov: 71.26 ± 0.20%
Acc: 95.08 ± 0.14%","Cov: 83.44 ± 0.19%
Acc: 92.14 ± 0.20%","Cov: 96.77 ± 0.10%
Acc: 90.17 ± 0.14%","Cov: 99.71 ± 0.02%
Acc: 93.13 ± 0.10%","Cov: 99.99 ± 0.00%
Acc: 95.16 ± 0.09%"
Class_7,"Cov: 4.34 ± 0.08%
Acc: 69.37 ± 1.77%","Cov: 7.82 ± 0.11%
Acc: 66.70 ± 1.08%","Cov: 12.25 ± 0.13%
Acc: 75.01 ± 0.73%","Cov: 21.79 ± 0.15%
Acc: 80.73 ± 0.52%","Cov: 33.76 ± 0.20%
Acc: 83.39 ± 0.46%","Cov: 45.23 ± 0.19%
Acc: 83.55 ± 0.31%","Cov: 56.24 ± 0.18%
Acc: 83.52 ± 0.30%","Cov: 66.16 ± 0.16%
Acc: 82.36 ± 0.27%","Cov: 77.65 ± 0.18%
Acc: 80.31 ± 0.28%","Cov: 89.94 ± 0.13%
Acc: 77.59 ± 0.26%","Cov: 97.77 ± 0.06%
Acc: 75.38 ± 0.27%","Cov: 99.62 ± 0.02%
Acc: 75.08 ± 0.27%","Cov: 99.97 ± 0.01%
Acc: 75.05 ± 0.25%"
Class_8,"Cov: 7.23 ± 0.22%
Acc: 67.93 ± 1.54%","Cov: 12.58 ± 0.33%
Acc: 65.65 ± 1.09%","Cov: 14.56 ± 0.34%
Acc: 64.26 ± 1.03%","Cov: 22.62 ± 0.34%
Acc: 69.58 ± 0.75%","Cov: 34.58 ± 0.49%
Acc: 75.63 ± 0.66%","Cov: 46.17 ± 0.52%
Acc: 77.44 ± 0.62%","Cov: 56.76 ± 0.48%
Acc: 78.56 ± 0.54%","Cov: 67.63 ± 0.44%
Acc: 77.65 ± 0.47%","Cov: 79.77 ± 0.38%
Acc: 75.43 ± 0.47%","Cov: 89.56 ± 0.30%
Acc: 70.67 ± 0.45%","Cov: 97.56 ± 0.15%
Acc: 65.74 ± 0.47%","Cov: 99.54 ± 0.07%
Acc: 64.16 ± 0.49%","Cov: 99.99 ± 0.03%
Acc: 63.78 ± 0.50%"
