,Percentile_1,Percentile_5,Percentile_10,Percentile_20,Percentile_30,Percentile_40,Percentile_50,Percentile_60,Percentile_70,Percentile_80,Percentile_90,Percentile_95,Percentile_99
Total,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 15.06 ± 0.05%
Acc: 86.44 ± 0.09%","Cov: 17.80 ± 0.06%
Acc: 82.64 ± 0.51%","Cov: 25.86 ± 0.08%
Acc: 80.73 ± 0.40%","Cov: 35.25 ± 0.08%
Acc: 79.58 ± 0.19%","Cov: 46.25 ± 0.06%
Acc: 78.71 ± 0.09%","Cov: 56.65 ± 0.06%
Acc: 77.80 ± 0.07%","Cov: 66.76 ± 0.06%
Acc: 77.28 ± 0.08%","Cov: 76.20 ± 0.05%
Acc: 76.80 ± 0.06%","Cov: 84.64 ± 0.05%
Acc: 76.63 ± 0.06%","Cov: 92.25 ± 0.03%
Acc: 76.31 ± 0.06%","Cov: 96.09 ± 0.03%
Acc: 76.16 ± 0.09%","Cov: 99.33 ± 0.01%
Acc: 76.14 ± 0.07%"
Class_0,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 13.53 ± 0.14%
Acc: 78.33 ± 0.69%","Cov: 14.82 ± 0.14%
Acc: 70.94 ± 0.66%","Cov: 25.47 ± 0.19%
Acc: 76.26 ± 0.49%","Cov: 35.63 ± 0.18%
Acc: 73.17 ± 0.42%","Cov: 46.58 ± 0.20%
Acc: 70.92 ± 0.42%","Cov: 56.25 ± 0.20%
Acc: 70.03 ± 0.32%","Cov: 65.58 ± 0.20%
Acc: 69.85 ± 0.34%","Cov: 74.40 ± 0.19%
Acc: 68.87 ± 0.33%","Cov: 83.03 ± 0.16%
Acc: 68.57 ± 0.36%","Cov: 91.41 ± 0.11%
Acc: 68.43 ± 0.30%","Cov: 95.44 ± 0.10%
Acc: 68.42 ± 0.31%","Cov: 99.53 ± 0.03%
Acc: 68.84 ± 0.29%"
Class_1,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 34.18 ± 0.43%
Acc: 94.77 ± 0.23%","Cov: 38.64 ± 0.77%
Acc: 79.82 ± 3.44%","Cov: 46.58 ± 1.08%
Acc: 65.77 ± 3.19%","Cov: 51.40 ± 0.98%
Acc: 61.52 ± 1.59%","Cov: 58.97 ± 0.43%
Acc: 69.92 ± 0.71%","Cov: 67.36 ± 0.21%
Acc: 72.96 ± 0.53%","Cov: 76.90 ± 0.17%
Acc: 73.78 ± 0.36%","Cov: 84.23 ± 0.15%
Acc: 75.63 ± 0.29%","Cov: 90.30 ± 0.14%
Acc: 76.53 ± 0.28%","Cov: 95.20 ± 0.11%
Acc: 75.82 ± 0.39%","Cov: 97.90 ± 0.06%
Acc: 75.73 ± 0.93%","Cov: 99.49 ± 0.04%
Acc: 75.96 ± 0.46%"
Class_2,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 9.65 ± 0.16%
Acc: 67.19 ± 1.31%","Cov: 13.99 ± 0.21%
Acc: 72.73 ± 1.00%","Cov: 23.98 ± 0.24%
Acc: 69.67 ± 0.97%","Cov: 35.69 ± 0.24%
Acc: 70.29 ± 0.76%","Cov: 46.95 ± 0.23%
Acc: 69.88 ± 0.55%","Cov: 56.15 ± 0.29%
Acc: 67.84 ± 0.43%","Cov: 66.61 ± 0.25%
Acc: 66.47 ± 0.33%","Cov: 75.59 ± 0.24%
Acc: 65.16 ± 0.30%","Cov: 84.11 ± 0.21%
Acc: 64.73 ± 0.34%","Cov: 92.32 ± 0.18%
Acc: 64.34 ± 0.26%","Cov: 96.35 ± 0.14%
Acc: 63.70 ± 0.29%","Cov: 99.39 ± 0.06%
Acc: 63.11 ± 0.30%"
Class_3,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 9.16 ± 0.19%
Acc: 74.98 ± 1.08%","Cov: 12.59 ± 0.23%
Acc: 76.29 ± 1.01%","Cov: 21.81 ± 0.26%
Acc: 75.67 ± 0.73%","Cov: 33.02 ± 0.31%
Acc: 71.05 ± 0.64%","Cov: 46.28 ± 0.34%
Acc: 70.11 ± 0.61%","Cov: 56.27 ± 0.30%
Acc: 66.85 ± 0.63%","Cov: 66.16 ± 0.25%
Acc: 64.89 ± 0.51%","Cov: 76.03 ± 0.24%
Acc: 63.22 ± 0.49%","Cov: 84.42 ± 0.26%
Acc: 61.91 ± 0.44%","Cov: 92.55 ± 0.18%
Acc: 61.36 ± 0.42%","Cov: 96.58 ± 0.13%
Acc: 60.65 ± 0.42%","Cov: 99.58 ± 0.05%
Acc: 60.62 ± 0.39%"
Class_4,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 18.64 ± 0.82%
Acc: 58.73 ± 2.50%","Cov: 21.24 ± 0.86%
Acc: 51.38 ± 2.24%","Cov: 29.57 ± 0.93%
Acc: 52.40 ± 1.76%","Cov: 42.49 ± 1.05%
Acc: 55.73 ± 1.54%","Cov: 52.51 ± 1.22%
Acc: 57.92 ± 1.40%","Cov: 61.28 ± 1.13%
Acc: 60.29 ± 1.11%","Cov: 70.92 ± 1.03%
Acc: 61.61 ± 1.13%","Cov: 80.11 ± 0.84%
Acc: 62.69 ± 1.11%","Cov: 87.30 ± 0.61%
Acc: 63.70 ± 1.06%","Cov: 93.46 ± 0.52%
Acc: 64.76 ± 1.07%","Cov: 97.45 ± 0.28%
Acc: 65.59 ± 1.04%","Cov: 99.37 ± 0.18%
Acc: 66.04 ± 0.92%"
Class_5,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 9.59 ± 0.14%
Acc: 78.31 ± 0.61%","Cov: 11.84 ± 0.16%
Acc: 79.59 ± 0.54%","Cov: 22.25 ± 0.20%
Acc: 83.14 ± 0.50%","Cov: 34.53 ± 0.23%
Acc: 80.99 ± 0.41%","Cov: 46.66 ± 0.24%
Acc: 77.56 ± 0.37%","Cov: 58.55 ± 0.25%
Acc: 76.19 ± 0.32%","Cov: 68.44 ± 0.22%
Acc: 75.06 ± 0.30%","Cov: 76.71 ± 0.18%
Acc: 73.60 ± 0.26%","Cov: 84.60 ± 0.14%
Acc: 73.04 ± 0.29%","Cov: 91.31 ± 0.12%
Acc: 72.64 ± 0.29%","Cov: 95.33 ± 0.10%
Acc: 72.65 ± 0.29%","Cov: 99.28 ± 0.05%
Acc: 72.89 ± 0.29%"
Class_6,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 31.77 ± 0.13%
Acc: 98.64 ± 0.07%","Cov: 32.06 ± 0.13%
Acc: 97.73 ± 0.10%","Cov: 32.43 ± 0.13%
Acc: 96.62 ± 0.14%","Cov: 33.17 ± 0.13%
Acc: 94.51 ± 0.14%","Cov: 43.44 ± 0.16%
Acc: 93.67 ± 0.16%","Cov: 52.08 ± 0.17%
Acc: 92.63 ± 0.14%","Cov: 62.83 ± 0.19%
Acc: 92.28 ± 0.13%","Cov: 73.43 ± 0.18%
Acc: 92.52 ± 0.13%","Cov: 83.36 ± 0.10%
Acc: 93.48 ± 0.12%","Cov: 91.22 ± 0.07%
Acc: 94.41 ± 0.11%","Cov: 95.02 ± 0.06%
Acc: 94.70 ± 0.10%","Cov: 99.36 ± 0.03%
Acc: 94.85 ± 0.09%"
Class_7,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 7.32 ± 0.10%
Acc: 68.86 ± 0.71%","Cov: 12.17 ± 0.13%
Acc: 76.63 ± 0.45%","Cov: 21.13 ± 0.15%
Acc: 81.08 ± 0.46%","Cov: 35.88 ± 0.18%
Acc: 82.72 ± 0.42%","Cov: 47.97 ± 0.19%
Acc: 79.84 ± 0.28%","Cov: 57.67 ± 0.18%
Acc: 78.10 ± 0.27%","Cov: 66.30 ± 0.19%
Acc: 76.56 ± 0.26%","Cov: 75.06 ± 0.19%
Acc: 75.21 ± 0.26%","Cov: 83.90 ± 0.14%
Acc: 74.64 ± 0.27%","Cov: 91.61 ± 0.11%
Acc: 73.94 ± 0.26%","Cov: 95.96 ± 0.11%
Acc: 73.68 ± 0.26%","Cov: 99.28 ± 0.04%
Acc: 73.27 ± 0.26%"
Class_8,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 12.59 ± 0.26%
Acc: 73.01 ± 1.26%","Cov: 13.74 ± 0.26%
Acc: 66.74 ± 1.15%","Cov: 23.06 ± 0.36%
Acc: 69.91 ± 0.79%","Cov: 36.95 ± 0.48%
Acc: 69.47 ± 0.60%","Cov: 50.29 ± 0.55%
Acc: 68.38 ± 0.64%","Cov: 61.64 ± 0.51%
Acc: 67.51 ± 0.56%","Cov: 71.82 ± 0.45%
Acc: 66.24 ± 0.56%","Cov: 80.21 ± 0.40%
Acc: 64.90 ± 0.50%","Cov: 87.41 ± 0.31%
Acc: 64.27 ± 0.52%","Cov: 93.90 ± 0.26%
Acc: 63.91 ± 0.49%","Cov: 96.68 ± 0.15%
Acc: 63.41 ± 0.48%","Cov: 99.58 ± 0.09%
Acc: 63.21 ± 0.48%"
