,Percentile_1,Percentile_5,Percentile_10,Percentile_20,Percentile_30,Percentile_40,Percentile_50,Percentile_60,Percentile_70,Percentile_80,Percentile_90,Percentile_95,Percentile_99
Total,"Cov: 7.36 ± 0.07%
Acc: 84.30 ± 0.60%","Cov: 9.91 ± 0.10%
Acc: 77.96 ± 0.77%","Cov: 15.36 ± 0.14%
Acc: 74.49 ± 0.70%","Cov: 26.45 ± 0.17%
Acc: 66.44 ± 0.52%","Cov: 37.90 ± 0.15%
Acc: 65.16 ± 0.32%","Cov: 48.74 ± 0.14%
Acc: 65.06 ± 0.16%","Cov: 59.84 ± 0.15%
Acc: 65.63 ± 0.15%","Cov: 68.31 ± 0.13%
Acc: 65.52 ± 0.14%","Cov: 76.32 ± 0.11%
Acc: 65.48 ± 0.14%","Cov: 84.47 ± 0.09%
Acc: 65.96 ± 0.13%","Cov: 92.62 ± 0.07%
Acc: 66.13 ± 0.13%","Cov: 96.47 ± 0.06%
Acc: 66.01 ± 0.15%","Cov: 99.15 ± 0.03%
Acc: 66.47 ± 0.13%"
Class_0,"Cov: 3.54 ± 0.17%
Acc: 58.40 ± 2.79%","Cov: 5.85 ± 0.23%
Acc: 45.07 ± 2.74%","Cov: 17.20 ± 0.41%
Acc: 70.79 ± 1.26%","Cov: 29.98 ± 0.43%
Acc: 65.15 ± 0.96%","Cov: 40.38 ± 0.50%
Acc: 60.81 ± 0.86%","Cov: 50.24 ± 0.45%
Acc: 59.98 ± 0.88%","Cov: 59.31 ± 0.40%
Acc: 58.90 ± 0.87%","Cov: 72.11 ± 0.35%
Acc: 61.17 ± 0.78%","Cov: 78.49 ± 0.29%
Acc: 59.20 ± 0.77%","Cov: 83.63 ± 0.24%
Acc: 57.27 ± 0.75%","Cov: 92.45 ± 0.23%
Acc: 56.97 ± 0.71%","Cov: 97.41 ± 0.11%
Acc: 57.92 ± 0.71%","Cov: 99.49 ± 0.04%
Acc: 58.37 ± 0.70%"
Class_1,"Cov: 24.32 ± 0.50%
Acc: 92.69 ± 2.50%","Cov: 27.41 ± 0.91%
Acc: 83.18 ± 3.41%","Cov: 31.07 ± 1.45%
Acc: 73.24 ± 4.15%","Cov: 39.45 ± 2.15%
Acc: 58.20 ± 3.94%","Cov: 50.97 ± 1.69%
Acc: 56.21 ± 2.62%","Cov: 62.04 ± 0.56%
Acc: 62.71 ± 0.72%","Cov: 73.33 ± 0.38%
Acc: 68.09 ± 0.50%","Cov: 80.16 ± 0.29%
Acc: 69.20 ± 0.56%","Cov: 85.55 ± 0.30%
Acc: 70.60 ± 0.57%","Cov: 89.30 ± 0.31%
Acc: 69.49 ± 0.56%","Cov: 95.72 ± 0.28%
Acc: 69.97 ± 0.48%","Cov: 98.12 ± 0.17%
Acc: 69.43 ± 0.86%","Cov: 99.69 ± 0.03%
Acc: 70.41 ± 0.57%"
Class_2,"Cov: 2.91 ± 0.13%
Acc: 51.64 ± 3.67%","Cov: 11.24 ± 0.42%
Acc: 80.84 ± 1.34%","Cov: 16.74 ± 0.41%
Acc: 70.75 ± 1.51%","Cov: 28.91 ± 0.46%
Acc: 60.39 ± 1.32%","Cov: 35.67 ± 0.44%
Acc: 51.19 ± 1.25%","Cov: 43.94 ± 0.42%
Acc: 47.55 ± 1.14%","Cov: 55.13 ± 0.48%
Acc: 50.03 ± 0.99%","Cov: 64.82 ± 0.48%
Acc: 51.94 ± 0.85%","Cov: 72.17 ± 0.45%
Acc: 51.71 ± 0.81%","Cov: 81.51 ± 0.45%
Acc: 53.21 ± 0.73%","Cov: 93.35 ± 0.34%
Acc: 54.88 ± 0.66%","Cov: 96.34 ± 0.26%
Acc: 53.89 ± 0.67%","Cov: 99.16 ± 0.10%
Acc: 53.86 ± 0.64%"
Class_3,"Cov: 3.95 ± 0.19%
Acc: 68.39 ± 1.98%","Cov: 6.95 ± 0.26%
Acc: 64.17 ± 1.66%","Cov: 10.50 ± 0.34%
Acc: 57.24 ± 1.54%","Cov: 22.01 ± 0.50%
Acc: 41.64 ± 1.06%","Cov: 35.75 ± 0.54%
Acc: 46.61 ± 0.89%","Cov: 48.82 ± 0.51%
Acc: 48.77 ± 0.87%","Cov: 60.15 ± 0.44%
Acc: 48.26 ± 0.86%","Cov: 69.10 ± 0.35%
Acc: 47.52 ± 0.81%","Cov: 78.10 ± 0.33%
Acc: 47.87 ± 0.71%","Cov: 85.11 ± 0.31%
Acc: 46.87 ± 0.64%","Cov: 93.18 ± 0.21%
Acc: 45.41 ± 0.60%","Cov: 97.71 ± 0.14%
Acc: 47.68 ± 0.59%","Cov: 99.76 ± 0.04%
Acc: 47.71 ± 0.57%"
Class_4,"Cov: 5.57 ± 0.22%
Acc: 44.35 ± 2.41%","Cov: 14.73 ± 0.57%
Acc: 52.83 ± 2.29%","Cov: 23.33 ± 0.47%
Acc: 41.25 ± 1.29%","Cov: 36.19 ± 0.41%
Acc: 41.82 ± 1.17%","Cov: 46.33 ± 0.40%
Acc: 43.87 ± 1.18%","Cov: 54.75 ± 0.41%
Acc: 43.09 ± 1.05%","Cov: 64.94 ± 0.48%
Acc: 43.46 ± 1.01%","Cov: 74.10 ± 0.47%
Acc: 46.22 ± 0.93%","Cov: 82.78 ± 0.38%
Acc: 50.85 ± 0.94%","Cov: 88.27 ± 0.30%
Acc: 52.09 ± 0.88%","Cov: 95.22 ± 0.19%
Acc: 53.86 ± 0.81%","Cov: 97.36 ± 0.16%
Acc: 53.95 ± 0.79%","Cov: 99.36 ± 0.07%
Acc: 54.47 ± 0.77%"
Class_5,"Cov: 2.57 ± 0.14%
Acc: 63.97 ± 2.65%","Cov: 3.50 ± 0.17%
Acc: 60.52 ± 2.60%","Cov: 12.34 ± 0.30%
Acc: 76.67 ± 1.35%","Cov: 24.97 ± 0.38%
Acc: 64.99 ± 1.43%","Cov: 42.51 ± 0.46%
Acc: 67.15 ± 1.07%","Cov: 51.85 ± 0.42%
Acc: 62.88 ± 1.08%","Cov: 60.44 ± 0.43%
Acc: 60.39 ± 1.04%","Cov: 68.14 ± 0.45%
Acc: 59.02 ± 0.96%","Cov: 75.93 ± 0.41%
Acc: 59.12 ± 0.89%","Cov: 82.87 ± 0.34%
Acc: 59.29 ± 0.80%","Cov: 90.97 ± 0.22%
Acc: 59.26 ± 0.75%","Cov: 96.45 ± 0.13%
Acc: 60.79 ± 0.75%","Cov: 98.59 ± 0.08%
Acc: 59.94 ± 0.72%"
Class_6,"Cov: 22.48 ± 0.19%
Acc: 98.97 ± 0.13%","Cov: 22.63 ± 0.19%
Acc: 98.28 ± 0.14%","Cov: 23.03 ± 0.20%
Acc: 96.59 ± 0.17%","Cov: 24.17 ± 0.22%
Acc: 92.06 ± 0.32%","Cov: 30.35 ± 0.36%
Acc: 89.20 ± 0.38%","Cov: 36.56 ± 0.32%
Acc: 87.08 ± 0.39%","Cov: 55.35 ± 0.53%
Acc: 89.13 ± 0.30%","Cov: 64.39 ± 0.52%
Acc: 88.78 ± 0.27%","Cov: 72.66 ± 0.42%
Acc: 88.11 ± 0.31%","Cov: 85.61 ± 0.17%
Acc: 90.73 ± 0.31%","Cov: 92.29 ± 0.17%
Acc: 92.62 ± 0.29%","Cov: 94.67 ± 0.15%
Acc: 92.32 ± 0.28%","Cov: 99.70 ± 0.07%
Acc: 93.41 ± 0.25%"
Class_7,"Cov: 2.07 ± 0.12%
Acc: 44.62 ± 3.99%","Cov: 3.33 ± 0.18%
Acc: 47.81 ± 2.88%","Cov: 6.08 ± 0.26%
Acc: 50.76 ± 2.41%","Cov: 18.63 ± 0.48%
Acc: 56.33 ± 1.64%","Cov: 30.85 ± 0.50%
Acc: 59.55 ± 1.23%","Cov: 39.59 ± 0.47%
Acc: 56.09 ± 1.08%","Cov: 53.03 ± 0.49%
Acc: 60.62 ± 0.93%","Cov: 63.61 ± 0.47%
Acc: 62.36 ± 0.82%","Cov: 71.87 ± 0.49%
Acc: 61.69 ± 0.81%","Cov: 78.36 ± 0.46%
Acc: 59.92 ± 0.78%","Cov: 88.47 ± 0.31%
Acc: 60.47 ± 0.76%","Cov: 94.33 ± 0.22%
Acc: 60.95 ± 0.73%","Cov: 98.06 ± 0.13%
Acc: 60.15 ± 0.71%"
Class_8,"Cov: 5.00 ± 0.26%
Acc: 71.25 ± 2.30%","Cov: 7.23 ± 0.32%
Acc: 65.52 ± 2.25%","Cov: 13.92 ± 0.43%
Acc: 63.69 ± 1.52%","Cov: 33.03 ± 0.51%
Acc: 65.52 ± 0.97%","Cov: 45.73 ± 0.51%
Acc: 61.59 ± 0.82%","Cov: 55.75 ± 0.51%
Acc: 55.72 ± 0.82%","Cov: 66.36 ± 0.48%
Acc: 52.87 ± 0.69%","Cov: 73.87 ± 0.42%
Acc: 51.74 ± 0.63%","Cov: 81.23 ± 0.40%
Acc: 51.61 ± 0.60%","Cov: 86.87 ± 0.37%
Acc: 51.12 ± 0.59%","Cov: 93.88 ± 0.26%
Acc: 51.40 ± 0.55%","Cov: 96.27 ± 0.25%
Acc: 50.48 ± 0.55%","Cov: 99.16 ± 0.11%
Acc: 51.60 ± 0.52%"
Class_9,"Cov: 1.97 ± 0.15%
Acc: 81.09 ± 3.65%","Cov: 5.50 ± 0.27%
Acc: 87.94 ± 1.90%","Cov: 9.76 ± 0.35%
Acc: 82.97 ± 1.59%","Cov: 20.36 ± 0.39%
Acc: 71.97 ± 1.08%","Cov: 30.23 ± 0.39%
Acc: 63.46 ± 0.94%","Cov: 42.13 ± 0.36%
Acc: 62.18 ± 0.76%","Cov: 50.75 ± 0.39%
Acc: 56.76 ± 0.67%","Cov: 59.74 ± 0.39%
Acc: 55.93 ± 0.59%","Cov: 71.13 ± 0.39%
Acc: 57.18 ± 0.50%","Cov: 82.12 ± 0.31%
Acc: 53.63 ± 0.52%","Cov: 91.93 ± 0.17%
Acc: 54.01 ± 0.53%","Cov: 98.72 ± 0.07%
Acc: 52.59 ± 0.50%","Cov: 99.81 ± 0.02%
Acc: 53.30 ± 0.51%"
Class_10,"Cov: 1.14 ± 0.08%
Acc: 52.43 ± 3.61%","Cov: 3.53 ± 0.24%
Acc: 74.29 ± 2.28%","Cov: 5.94 ± 0.28%
Acc: 71.11 ± 1.86%","Cov: 14.81 ± 0.37%
Acc: 62.99 ± 1.37%","Cov: 25.33 ± 0.42%
Acc: 63.36 ± 0.98%","Cov: 39.12 ± 0.55%
Acc: 66.19 ± 0.87%","Cov: 47.34 ± 0.55%
Acc: 61.56 ± 0.89%","Cov: 54.73 ± 0.54%
Acc: 59.25 ± 0.94%","Cov: 65.40 ± 0.50%
Acc: 60.55 ± 0.83%","Cov: 76.06 ± 0.47%
Acc: 61.62 ± 0.79%","Cov: 89.69 ± 0.38%
Acc: 63.47 ± 0.70%","Cov: 94.36 ± 0.27%
Acc: 63.12 ± 0.67%","Cov: 98.41 ± 0.11%
Acc: 63.42 ± 0.65%"
Class_11,"Cov: 5.34 ± 0.19%
Acc: 78.62 ± 1.23%","Cov: 10.91 ± 0.28%
Acc: 78.30 ± 1.00%","Cov: 16.05 ± 0.30%
Acc: 70.98 ± 1.12%","Cov: 30.66 ± 0.43%
Acc: 65.57 ± 0.93%","Cov: 45.89 ± 0.51%
Acc: 65.64 ± 0.86%","Cov: 60.26 ± 0.46%
Acc: 67.02 ± 0.67%","Cov: 71.66 ± 0.40%
Acc: 66.12 ± 0.53%","Cov: 77.21 ± 0.35%
Acc: 62.90 ± 0.51%","Cov: 83.12 ± 0.30%
Acc: 61.11 ± 0.48%","Cov: 87.94 ± 0.24%
Acc: 59.51 ± 0.44%","Cov: 94.30 ± 0.17%
Acc: 58.59 ± 0.49%","Cov: 97.39 ± 0.12%
Acc: 58.31 ± 0.48%","Cov: 99.27 ± 0.06%
Acc: 58.36 ± 0.49%"
