,Percentile_1,Percentile_5,Percentile_10,Percentile_20,Percentile_30,Percentile_40,Percentile_50,Percentile_60,Percentile_70,Percentile_80,Percentile_90,Percentile_95,Percentile_99
Total,"Cov: 11.46 ± 0.10%
Acc: 84.26 ± 0.41%","Cov: 18.11 ± 0.12%
Acc: 79.87 ± 0.65%","Cov: 18.96 ± 0.12%
Acc: 78.51 ± 0.64%","Cov: 26.06 ± 0.15%
Acc: 79.45 ± 0.47%","Cov: 34.47 ± 0.17%
Acc: 81.67 ± 0.35%","Cov: 44.78 ± 0.19%
Acc: 83.92 ± 0.28%","Cov: 54.50 ± 0.16%
Acc: 84.67 ± 0.24%","Cov: 64.52 ± 0.15%
Acc: 85.08 ± 0.14%","Cov: 75.94 ± 0.13%
Acc: 84.00 ± 0.14%","Cov: 87.85 ± 0.12%
Acc: 81.97 ± 0.15%","Cov: 97.31 ± 0.05%
Acc: 80.18 ± 0.15%","Cov: 99.52 ± 0.02%
Acc: 79.84 ± 0.13%","Cov: 99.98 ± 0.01%
Acc: 79.88 ± 0.14%"
Class_0,"Cov: 9.38 ± 0.51%
Acc: 63.00 ± 2.36%","Cov: 14.52 ± 0.56%
Acc: 60.84 ± 1.79%","Cov: 15.14 ± 0.56%
Acc: 58.35 ± 1.75%","Cov: 23.75 ± 0.68%
Acc: 64.96 ± 1.21%","Cov: 33.33 ± 0.83%
Acc: 71.78 ± 1.12%","Cov: 43.54 ± 0.83%
Acc: 75.68 ± 0.89%","Cov: 53.21 ± 0.78%
Acc: 77.50 ± 0.79%","Cov: 64.14 ± 0.73%
Acc: 78.31 ± 0.71%","Cov: 77.18 ± 0.57%
Acc: 77.69 ± 0.68%","Cov: 88.81 ± 0.49%
Acc: 76.52 ± 0.67%","Cov: 97.28 ± 0.21%
Acc: 75.70 ± 0.58%","Cov: 99.51 ± 0.10%
Acc: 75.22 ± 0.58%","Cov: 99.93 ± 0.03%
Acc: 74.90 ± 0.63%"
Class_1,"Cov: 18.78 ± 0.58%
Acc: 65.59 ± 2.01%","Cov: 39.88 ± 0.71%
Acc: 50.53 ± 4.36%","Cov: 40.30 ± 0.70%
Acc: 50.33 ± 4.36%","Cov: 49.53 ± 0.76%
Acc: 56.12 ± 3.67%","Cov: 51.98 ± 0.72%
Acc: 63.16 ± 3.10%","Cov: 55.57 ± 0.74%
Acc: 74.37 ± 2.96%","Cov: 59.05 ± 0.70%
Acc: 76.54 ± 2.82%","Cov: 66.95 ± 0.66%
Acc: 82.18 ± 0.74%","Cov: 77.47 ± 0.63%
Acc: 82.09 ± 0.73%","Cov: 89.40 ± 0.39%
Acc: 81.81 ± 0.76%","Cov: 97.72 ± 0.23%
Acc: 82.35 ± 0.56%","Cov: 99.64 ± 0.07%
Acc: 81.60 ± 0.62%","Cov: 99.99 ± 0.01%
Acc: 81.67 ± 0.60%"
Class_2,"Cov: 9.07 ± 0.57%
Acc: 64.38 ± 2.92%","Cov: 13.97 ± 0.64%
Acc: 64.70 ± 1.98%","Cov: 14.18 ± 0.64%
Acc: 63.71 ± 1.92%","Cov: 23.74 ± 0.86%
Acc: 67.51 ± 1.75%","Cov: 34.55 ± 0.91%
Acc: 72.60 ± 1.33%","Cov: 44.29 ± 0.97%
Acc: 75.85 ± 1.19%","Cov: 54.60 ± 0.88%
Acc: 78.88 ± 1.06%","Cov: 65.27 ± 0.77%
Acc: 79.28 ± 1.01%","Cov: 76.69 ± 0.70%
Acc: 77.78 ± 1.01%","Cov: 88.23 ± 0.44%
Acc: 74.90 ± 0.86%","Cov: 97.00 ± 0.28%
Acc: 69.43 ± 0.91%","Cov: 99.58 ± 0.12%
Acc: 67.29 ± 0.89%","Cov: 100.00 ± 0.00%
Acc: 66.79 ± 0.91%"
Class_3,"Cov: 6.57 ± 0.39%
Acc: 69.01 ± 3.42%","Cov: 11.90 ± 0.51%
Acc: 67.87 ± 2.25%","Cov: 13.93 ± 0.55%
Acc: 69.24 ± 2.06%","Cov: 23.82 ± 0.76%
Acc: 76.36 ± 1.46%","Cov: 33.53 ± 0.85%
Acc: 78.31 ± 1.35%","Cov: 43.52 ± 0.87%
Acc: 79.31 ± 1.23%","Cov: 54.10 ± 0.93%
Acc: 80.03 ± 1.20%","Cov: 65.17 ± 0.93%
Acc: 79.08 ± 1.11%","Cov: 76.70 ± 0.76%
Acc: 76.32 ± 0.98%","Cov: 88.55 ± 0.55%
Acc: 72.28 ± 0.96%","Cov: 97.41 ± 0.31%
Acc: 66.16 ± 0.95%","Cov: 99.55 ± 0.12%
Acc: 63.41 ± 0.93%","Cov: 99.94 ± 0.05%
Acc: 62.88 ± 0.94%"
Class_4,"Cov: 12.90 ± 0.80%
Acc: 57.34 ± 3.19%","Cov: 21.58 ± 1.04%
Acc: 56.23 ± 2.36%","Cov: 22.81 ± 1.04%
Acc: 53.14 ± 2.26%","Cov: 30.17 ± 1.08%
Acc: 47.38 ± 2.43%","Cov: 40.12 ± 1.38%
Acc: 53.61 ± 2.19%","Cov: 48.92 ± 1.32%
Acc: 57.22 ± 1.85%","Cov: 58.17 ± 1.33%
Acc: 59.92 ± 1.49%","Cov: 68.69 ± 1.20%
Acc: 63.14 ± 1.42%","Cov: 79.42 ± 1.05%
Acc: 62.91 ± 1.33%","Cov: 90.56 ± 0.81%
Acc: 63.06 ± 1.15%","Cov: 98.53 ± 0.29%
Acc: 60.90 ± 1.21%","Cov: 99.92 ± 0.07%
Acc: 59.51 ± 1.29%","Cov: 100.00 ± 0.00%
Acc: 59.27 ± 1.25%"
Class_5,"Cov: 6.72 ± 0.30%
Acc: 86.00 ± 2.00%","Cov: 11.61 ± 0.41%
Acc: 83.16 ± 1.48%","Cov: 11.95 ± 0.41%
Acc: 80.79 ± 1.49%","Cov: 20.92 ± 0.49%
Acc: 86.57 ± 1.10%","Cov: 31.25 ± 0.56%
Acc: 86.47 ± 0.96%","Cov: 42.14 ± 0.64%
Acc: 86.46 ± 0.83%","Cov: 53.09 ± 0.64%
Acc: 85.85 ± 0.73%","Cov: 64.07 ± 0.67%
Acc: 85.03 ± 0.67%","Cov: 75.72 ± 0.61%
Acc: 83.57 ± 0.53%","Cov: 88.57 ± 0.38%
Acc: 80.79 ± 0.62%","Cov: 97.59 ± 0.22%
Acc: 80.16 ± 0.60%","Cov: 99.75 ± 0.07%
Acc: 79.69 ± 0.56%","Cov: 99.99 ± 0.01%
Acc: 79.59 ± 0.55%"
Class_6,"Cov: 26.61 ± 0.39%
Acc: 98.39 ± 0.23%","Cov: 32.66 ± 0.47%
Acc: 98.04 ± 0.21%","Cov: 32.84 ± 0.49%
Acc: 97.51 ± 0.25%","Cov: 33.05 ± 0.48%
Acc: 96.92 ± 0.28%","Cov: 33.55 ± 0.47%
Acc: 95.50 ± 0.35%","Cov: 45.86 ± 0.50%
Acc: 96.08 ± 0.26%","Cov: 53.14 ± 0.43%
Acc: 96.34 ± 0.25%","Cov: 61.43 ± 0.45%
Acc: 96.63 ± 0.22%","Cov: 72.05 ± 0.39%
Acc: 96.44 ± 0.20%","Cov: 84.36 ± 0.37%
Acc: 94.03 ± 0.24%","Cov: 97.07 ± 0.17%
Acc: 92.20 ± 0.27%","Cov: 99.73 ± 0.05%
Acc: 94.64 ± 0.21%","Cov: 100.00 ± 0.00%
Acc: 96.64 ± 0.15%"
Class_7,"Cov: 7.53 ± 0.34%
Acc: 76.48 ± 2.16%","Cov: 13.20 ± 0.37%
Acc: 75.49 ± 1.69%","Cov: 13.59 ± 0.38%
Acc: 73.31 ± 1.65%","Cov: 22.07 ± 0.44%
Acc: 78.68 ± 1.17%","Cov: 33.15 ± 0.54%
Acc: 81.86 ± 0.99%","Cov: 43.78 ± 0.54%
Acc: 82.78 ± 0.82%","Cov: 54.00 ± 0.57%
Acc: 84.07 ± 0.68%","Cov: 64.61 ± 0.51%
Acc: 84.36 ± 0.62%","Cov: 76.14 ± 0.48%
Acc: 83.92 ± 0.58%","Cov: 88.02 ± 0.43%
Acc: 82.43 ± 0.51%","Cov: 97.23 ± 0.22%
Acc: 82.23 ± 0.46%","Cov: 99.52 ± 0.08%
Acc: 82.77 ± 0.44%","Cov: 99.98 ± 0.02%
Acc: 83.11 ± 0.47%"
Class_8,"Cov: 9.72 ± 0.58%
Acc: 67.66 ± 3.62%","Cov: 16.16 ± 0.78%
Acc: 67.95 ± 2.85%","Cov: 17.58 ± 0.77%
Acc: 62.30 ± 2.63%","Cov: 25.60 ± 0.83%
Acc: 68.91 ± 2.01%","Cov: 36.96 ± 1.03%
Acc: 72.67 ± 1.53%","Cov: 47.00 ± 1.19%
Acc: 75.67 ± 1.46%","Cov: 57.19 ± 1.02%
Acc: 77.23 ± 1.32%","Cov: 67.19 ± 1.09%
Acc: 77.36 ± 1.20%","Cov: 78.09 ± 0.84%
Acc: 76.17 ± 1.05%","Cov: 88.35 ± 0.64%
Acc: 72.65 ± 1.15%","Cov: 97.44 ± 0.30%
Acc: 66.63 ± 1.31%","Cov: 99.56 ± 0.17%
Acc: 64.10 ± 1.23%","Cov: 100.00 ± 0.00%
Acc: 63.67 ± 1.24%"
