,Percentile_1,Percentile_5,Percentile_10,Percentile_20,Percentile_30,Percentile_40,Percentile_50,Percentile_60,Percentile_70,Percentile_80,Percentile_90,Percentile_95,Percentile_99
Total,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 20.49 ± 0.14%
Acc: 84.68 ± 0.25%","Cov: 27.50 ± 0.16%
Acc: 81.35 ± 0.26%","Cov: 35.98 ± 0.17%
Acc: 80.71 ± 0.25%","Cov: 45.57 ± 0.20%
Acc: 80.95 ± 0.22%","Cov: 56.06 ± 0.17%
Acc: 80.19 ± 0.17%","Cov: 65.98 ± 0.16%
Acc: 79.63 ± 0.14%","Cov: 75.59 ± 0.13%
Acc: 79.38 ± 0.14%","Cov: 84.45 ± 0.12%
Acc: 79.25 ± 0.14%","Cov: 92.78 ± 0.10%
Acc: 79.13 ± 0.13%","Cov: 96.47 ± 0.07%
Acc: 78.98 ± 0.14%","Cov: 99.40 ± 0.02%
Acc: 78.91 ± 0.13%"
Class_0,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 19.09 ± 0.62%
Acc: 86.15 ± 1.28%","Cov: 24.29 ± 0.71%
Acc: 77.74 ± 1.11%","Cov: 33.79 ± 0.85%
Acc: 77.49 ± 1.04%","Cov: 44.45 ± 0.93%
Acc: 75.09 ± 1.07%","Cov: 54.91 ± 0.75%
Acc: 74.37 ± 0.93%","Cov: 64.53 ± 0.65%
Acc: 74.58 ± 0.85%","Cov: 74.02 ± 0.53%
Acc: 74.60 ± 0.73%","Cov: 83.28 ± 0.47%
Acc: 74.48 ± 0.60%","Cov: 92.19 ± 0.39%
Acc: 74.07 ± 0.60%","Cov: 96.23 ± 0.26%
Acc: 74.01 ± 0.59%","Cov: 99.50 ± 0.11%
Acc: 73.50 ± 0.59%"
Class_1,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 39.81 ± 0.70%
Acc: 94.51 ± 0.58%","Cov: 48.66 ± 0.77%
Acc: 74.79 ± 1.21%","Cov: 53.91 ± 0.70%
Acc: 66.54 ± 1.57%","Cov: 59.28 ± 0.64%
Acc: 75.89 ± 0.96%","Cov: 65.47 ± 0.56%
Acc: 77.76 ± 0.86%","Cov: 73.42 ± 0.51%
Acc: 77.25 ± 0.77%","Cov: 82.33 ± 0.39%
Acc: 77.74 ± 0.64%","Cov: 89.12 ± 0.41%
Acc: 80.07 ± 0.57%","Cov: 95.56 ± 0.33%
Acc: 80.44 ± 0.69%","Cov: 97.92 ± 0.21%
Acc: 80.36 ± 0.61%","Cov: 99.55 ± 0.10%
Acc: 80.88 ± 0.67%"
Class_2,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 13.23 ± 0.68%
Acc: 67.95 ± 2.37%","Cov: 23.66 ± 0.91%
Acc: 73.32 ± 1.78%","Cov: 33.98 ± 0.92%
Acc: 72.97 ± 1.47%","Cov: 44.16 ± 0.99%
Acc: 72.38 ± 1.03%","Cov: 55.35 ± 0.93%
Acc: 71.86 ± 1.06%","Cov: 65.03 ± 0.81%
Acc: 70.56 ± 0.95%","Cov: 75.68 ± 0.80%
Acc: 68.90 ± 0.98%","Cov: 84.60 ± 0.58%
Acc: 67.90 ± 1.00%","Cov: 92.60 ± 0.42%
Acc: 66.83 ± 0.88%","Cov: 96.63 ± 0.28%
Acc: 65.93 ± 0.88%","Cov: 99.44 ± 0.12%
Acc: 65.37 ± 0.91%"
Class_3,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 15.21 ± 0.69%
Acc: 79.79 ± 2.26%","Cov: 23.54 ± 0.73%
Acc: 78.95 ± 1.56%","Cov: 33.96 ± 0.88%
Acc: 77.73 ± 1.31%","Cov: 44.30 ± 0.90%
Acc: 74.59 ± 1.23%","Cov: 54.80 ± 1.04%
Acc: 71.41 ± 1.15%","Cov: 64.21 ± 0.88%
Acc: 68.75 ± 1.03%","Cov: 73.97 ± 0.82%
Acc: 66.11 ± 0.97%","Cov: 83.64 ± 0.72%
Acc: 64.63 ± 0.94%","Cov: 92.08 ± 0.53%
Acc: 63.31 ± 0.88%","Cov: 96.47 ± 0.35%
Acc: 62.28 ± 0.81%","Cov: 99.47 ± 0.12%
Acc: 61.47 ± 0.84%"
Class_4,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 21.34 ± 1.16%
Acc: 47.05 ± 2.68%","Cov: 30.71 ± 1.25%
Acc: 46.42 ± 2.18%","Cov: 41.97 ± 1.25%
Acc: 52.46 ± 1.95%","Cov: 51.53 ± 1.24%
Acc: 54.75 ± 1.81%","Cov: 59.03 ± 1.29%
Acc: 55.34 ± 1.64%","Cov: 68.83 ± 1.37%
Acc: 56.88 ± 1.45%","Cov: 77.44 ± 1.16%
Acc: 57.24 ± 1.48%","Cov: 86.61 ± 0.76%
Acc: 57.09 ± 1.33%","Cov: 93.20 ± 0.70%
Acc: 57.78 ± 1.26%","Cov: 96.95 ± 0.36%
Acc: 58.48 ± 1.17%","Cov: 99.44 ± 0.22%
Acc: 58.34 ± 1.19%"
Class_5,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 14.60 ± 0.44%
Acc: 81.82 ± 1.30%","Cov: 21.93 ± 0.53%
Acc: 83.01 ± 1.18%","Cov: 31.63 ± 0.59%
Acc: 83.98 ± 0.85%","Cov: 43.56 ± 0.67%
Acc: 82.71 ± 0.78%","Cov: 54.97 ± 0.69%
Acc: 81.07 ± 0.78%","Cov: 65.70 ± 0.72%
Acc: 80.04 ± 0.65%","Cov: 75.22 ± 0.59%
Acc: 79.04 ± 0.65%","Cov: 83.92 ± 0.55%
Acc: 78.38 ± 0.65%","Cov: 92.23 ± 0.39%
Acc: 78.22 ± 0.60%","Cov: 95.83 ± 0.30%
Acc: 78.45 ± 0.58%","Cov: 99.30 ± 0.11%
Acc: 78.52 ± 0.55%"
Class_6,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 41.35 ± 0.55%
Acc: 98.72 ± 0.17%","Cov: 41.69 ± 0.56%
Acc: 98.00 ± 0.22%","Cov: 42.27 ± 0.54%
Acc: 96.58 ± 0.24%","Cov: 42.92 ± 0.55%
Acc: 95.04 ± 0.29%","Cov: 53.39 ± 0.49%
Acc: 94.72 ± 0.28%","Cov: 63.24 ± 0.45%
Acc: 93.98 ± 0.31%","Cov: 73.72 ± 0.36%
Acc: 94.23 ± 0.26%","Cov: 83.25 ± 0.36%
Acc: 95.04 ± 0.22%","Cov: 91.87 ± 0.26%
Acc: 96.03 ± 0.19%","Cov: 95.69 ± 0.20%
Acc: 96.30 ± 0.20%","Cov: 99.28 ± 0.08%
Acc: 96.38 ± 0.17%"
Class_7,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 13.38 ± 0.36%
Acc: 76.35 ± 1.46%","Cov: 22.18 ± 0.45%
Acc: 82.72 ± 1.01%","Cov: 33.35 ± 0.51%
Acc: 82.82 ± 0.89%","Cov: 44.18 ± 0.60%
Acc: 82.51 ± 0.78%","Cov: 55.02 ± 0.63%
Acc: 82.25 ± 0.68%","Cov: 64.96 ± 0.56%
Acc: 82.33 ± 0.61%","Cov: 74.02 ± 0.48%
Acc: 82.46 ± 0.58%","Cov: 83.02 ± 0.43%
Acc: 82.19 ± 0.53%","Cov: 92.19 ± 0.36%
Acc: 82.41 ± 0.49%","Cov: 96.14 ± 0.28%
Acc: 82.41 ± 0.49%","Cov: 99.37 ± 0.10%
Acc: 82.24 ± 0.48%"
Class_8,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 16.90 ± 0.80%
Acc: 71.04 ± 2.09%","Cov: 26.47 ± 0.89%
Acc: 72.82 ± 1.70%","Cov: 37.10 ± 1.05%
Acc: 72.71 ± 1.36%","Cov: 48.56 ± 1.19%
Acc: 72.34 ± 1.49%","Cov: 59.64 ± 1.11%
Acc: 69.08 ± 1.23%","Cov: 69.07 ± 1.05%
Acc: 67.62 ± 1.34%","Cov: 78.04 ± 0.93%
Acc: 65.64 ± 1.39%","Cov: 86.46 ± 0.80%
Acc: 64.71 ± 1.23%","Cov: 93.12 ± 0.56%
Acc: 63.75 ± 1.27%","Cov: 96.44 ± 0.31%
Acc: 63.19 ± 1.24%","Cov: 99.67 ± 0.11%
Acc: 62.27 ± 1.27%"
Class_9,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 10.74 ± 0.59%
Acc: 93.14 ± 1.34%","Cov: 20.31 ± 0.75%
Acc: 91.69 ± 1.13%","Cov: 31.41 ± 0.88%
Acc: 91.00 ± 0.86%","Cov: 42.10 ± 0.87%
Acc: 86.01 ± 0.75%","Cov: 52.11 ± 0.86%
Acc: 82.76 ± 0.83%","Cov: 62.31 ± 0.77%
Acc: 78.93 ± 0.77%","Cov: 72.16 ± 0.70%
Acc: 77.08 ± 0.71%","Cov: 81.83 ± 0.55%
Acc: 75.60 ± 0.77%","Cov: 91.72 ± 0.46%
Acc: 74.18 ± 0.70%","Cov: 96.08 ± 0.31%
Acc: 73.55 ± 0.63%","Cov: 99.45 ± 0.14%
Acc: 73.32 ± 0.60%"
Class_10,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 13.17 ± 0.36%
Acc: 88.52 ± 1.07%","Cov: 21.82 ± 0.41%
Acc: 90.80 ± 0.75%","Cov: 31.89 ± 0.46%
Acc: 90.71 ± 0.70%","Cov: 42.67 ± 0.50%
Acc: 89.82 ± 0.49%","Cov: 53.45 ± 0.54%
Acc: 88.73 ± 0.44%","Cov: 63.44 ± 0.50%
Acc: 88.30 ± 0.40%","Cov: 73.28 ± 0.46%
Acc: 86.97 ± 0.38%","Cov: 82.74 ± 0.44%
Acc: 86.14 ± 0.33%","Cov: 92.01 ± 0.26%
Acc: 85.85 ± 0.36%","Cov: 96.02 ± 0.20%
Acc: 85.69 ± 0.36%","Cov: 99.21 ± 0.08%
Acc: 85.82 ± 0.35%"
Class_11,"Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 0.00 ± 0.00%
Acc: 0.00 ± 0.00%","Cov: 18.42 ± 0.52%
Acc: 80.64 ± 1.19%","Cov: 24.94 ± 0.56%
Acc: 80.57 ± 0.93%","Cov: 34.63 ± 0.61%
Acc: 79.57 ± 0.88%","Cov: 46.64 ± 0.76%
Acc: 79.20 ± 0.75%","Cov: 58.40 ± 0.64%
Acc: 78.12 ± 0.58%","Cov: 68.45 ± 0.60%
Acc: 77.53 ± 0.52%","Cov: 77.04 ± 0.53%
Acc: 78.23 ± 0.49%","Cov: 85.47 ± 0.45%
Acc: 78.00 ± 0.53%","Cov: 93.31 ± 0.26%
Acc: 78.03 ± 0.56%","Cov: 96.84 ± 0.21%
Acc: 78.22 ± 0.50%","Cov: 99.36 ± 0.10%
Acc: 78.33 ± 0.50%"
