,Distance_0.01,Distance_0.025,Distance_0.05,Distance_0.075,Distance_0.1,Distance_0.125,Distance_0.15,Distance_0.175,Distance_0.2,Distance_0.225,Distance_0.25,Distance_0.275,Distance_0.3
Total,"Cov: 44.55%
Acc: 79.86%","Cov: 63.80%
Acc: 68.62%","Cov: 80.68%
Acc: 62.39%","Cov: 88.54%
Acc: 60.24%","Cov: 92.90%
Acc: 59.09%","Cov: 95.72%
Acc: 58.23%","Cov: 97.17%
Acc: 57.76%","Cov: 98.10%
Acc: 57.47%","Cov: 98.65%
Acc: 57.29%","Cov: 99.00%
Acc: 57.19%","Cov: 99.22%
Acc: 57.13%","Cov: 99.38%
Acc: 57.08%","Cov: 99.51%
Acc: 57.05%"
Class_0,"Cov: 41.40%
Acc: 73.82%","Cov: 55.94%
Acc: 63.24%","Cov: 71.28%
Acc: 57.41%","Cov: 81.29%
Acc: 55.43%","Cov: 89.49%
Acc: 53.50%","Cov: 93.91%
Acc: 52.68%","Cov: 96.45%
Acc: 52.06%","Cov: 98.00%
Acc: 51.66%","Cov: 98.86%
Acc: 51.42%","Cov: 99.28%
Acc: 51.29%","Cov: 99.58%
Acc: 51.20%","Cov: 99.80%
Acc: 51.13%","Cov: 99.86%
Acc: 51.09%"
Class_1,"Cov: 64.04%
Acc: 90.77%","Cov: 75.70%
Acc: 80.84%","Cov: 87.03%
Acc: 73.84%","Cov: 92.29%
Acc: 71.26%","Cov: 95.74%
Acc: 69.75%","Cov: 97.76%
Acc: 68.86%","Cov: 98.69%
Acc: 68.44%","Cov: 99.25%
Acc: 68.15%","Cov: 99.50%
Acc: 68.02%","Cov: 99.61%
Acc: 67.98%","Cov: 99.67%
Acc: 67.95%","Cov: 99.73%
Acc: 67.92%","Cov: 99.78%
Acc: 67.88%"
Class_2,"Cov: 33.90%
Acc: 62.58%","Cov: 52.25%
Acc: 51.04%","Cov: 70.38%
Acc: 44.80%","Cov: 80.65%
Acc: 42.87%","Cov: 86.43%
Acc: 42.13%","Cov: 91.28%
Acc: 41.27%","Cov: 94.20%
Acc: 40.81%","Cov: 96.17%
Acc: 40.56%","Cov: 97.49%
Acc: 40.30%","Cov: 98.02%
Acc: 40.21%","Cov: 98.52%
Acc: 40.10%","Cov: 98.79%
Acc: 40.05%","Cov: 99.02%
Acc: 40.05%"
Class_3,"Cov: 33.22%
Acc: 61.20%","Cov: 54.96%
Acc: 46.67%","Cov: 75.13%
Acc: 39.54%","Cov: 86.61%
Acc: 36.73%","Cov: 92.37%
Acc: 35.64%","Cov: 95.59%
Acc: 34.87%","Cov: 97.33%
Acc: 34.44%","Cov: 98.37%
Acc: 34.31%","Cov: 98.80%
Acc: 34.27%","Cov: 99.01%
Acc: 34.20%","Cov: 99.15%
Acc: 34.16%","Cov: 99.34%
Acc: 34.11%","Cov: 99.44%
Acc: 34.09%"
Class_4,"Cov: 53.43%
Acc: 69.59%","Cov: 69.71%
Acc: 60.30%","Cov: 85.13%
Acc: 55.53%","Cov: 90.97%
Acc: 53.54%","Cov: 94.31%
Acc: 53.05%","Cov: 96.45%
Acc: 52.71%","Cov: 97.59%
Acc: 52.50%","Cov: 98.33%
Acc: 52.12%","Cov: 98.66%
Acc: 51.96%","Cov: 99.15%
Acc: 51.85%","Cov: 99.30%
Acc: 51.77%","Cov: 99.40%
Acc: 51.72%","Cov: 99.46%
Acc: 51.69%"
Class_5,"Cov: 47.59%
Acc: 73.13%","Cov: 68.28%
Acc: 58.49%","Cov: 80.81%
Acc: 53.29%","Cov: 87.04%
Acc: 51.49%","Cov: 91.25%
Acc: 50.51%","Cov: 93.90%
Acc: 49.80%","Cov: 95.59%
Acc: 49.40%","Cov: 96.66%
Acc: 49.12%","Cov: 97.40%
Acc: 48.92%","Cov: 97.98%
Acc: 48.84%","Cov: 98.37%
Acc: 48.74%","Cov: 98.72%
Acc: 48.69%","Cov: 99.00%
Acc: 48.65%"
Class_6,"Cov: 59.29%
Acc: 97.92%","Cov: 78.04%
Acc: 93.17%","Cov: 90.83%
Acc: 88.50%","Cov: 95.24%
Acc: 87.30%","Cov: 97.51%
Acc: 86.55%","Cov: 99.04%
Acc: 85.74%","Cov: 99.46%
Acc: 85.53%","Cov: 99.67%
Acc: 85.42%","Cov: 99.78%
Acc: 85.35%","Cov: 99.84%
Acc: 85.31%","Cov: 99.87%
Acc: 85.28%","Cov: 99.90%
Acc: 85.27%","Cov: 99.91%
Acc: 85.26%"
Class_7,"Cov: 39.32%
Acc: 72.77%","Cov: 58.25%
Acc: 58.82%","Cov: 74.87%
Acc: 52.50%","Cov: 83.28%
Acc: 51.16%","Cov: 89.10%
Acc: 50.47%","Cov: 93.45%
Acc: 49.76%","Cov: 95.93%
Acc: 49.27%","Cov: 97.39%
Acc: 48.95%","Cov: 98.30%
Acc: 48.82%","Cov: 98.80%
Acc: 48.74%","Cov: 99.15%
Acc: 48.67%","Cov: 99.34%
Acc: 48.63%","Cov: 99.47%
Acc: 48.61%"
Class_8,"Cov: 45.17%
Acc: 66.94%","Cov: 65.57%
Acc: 53.14%","Cov: 83.36%
Acc: 47.29%","Cov: 90.51%
Acc: 45.50%","Cov: 93.87%
Acc: 44.67%","Cov: 96.41%
Acc: 44.13%","Cov: 97.38%
Acc: 43.92%","Cov: 98.28%
Acc: 43.88%","Cov: 98.70%
Acc: 43.80%","Cov: 99.04%
Acc: 43.67%","Cov: 99.20%
Acc: 43.61%","Cov: 99.25%
Acc: 43.60%","Cov: 99.39%
Acc: 43.59%"
Class_9,"Cov: 16.51%
Acc: 67.66%","Cov: 35.98%
Acc: 52.23%","Cov: 65.74%
Acc: 49.75%","Cov: 81.23%
Acc: 48.44%","Cov: 88.20%
Acc: 47.41%","Cov: 93.08%
Acc: 46.38%","Cov: 95.85%
Acc: 45.77%","Cov: 97.50%
Acc: 45.44%","Cov: 98.36%
Acc: 45.24%","Cov: 98.94%
Acc: 45.15%","Cov: 99.22%
Acc: 45.10%","Cov: 99.40%
Acc: 45.07%","Cov: 99.50%
Acc: 45.05%"
Class_10,"Cov: 38.21%
Acc: 74.02%","Cov: 59.68%
Acc: 59.66%","Cov: 78.54%
Acc: 53.14%","Cov: 87.60%
Acc: 51.36%","Cov: 92.68%
Acc: 50.46%","Cov: 95.67%
Acc: 49.81%","Cov: 97.04%
Acc: 49.47%","Cov: 97.94%
Acc: 49.19%","Cov: 98.50%
Acc: 49.04%","Cov: 98.87%
Acc: 48.96%","Cov: 99.07%
Acc: 48.92%","Cov: 99.24%
Acc: 48.86%","Cov: 99.39%
Acc: 48.81%"
Class_11,"Cov: 45.14%
Acc: 76.11%","Cov: 63.72%
Acc: 62.86%","Cov: 80.63%
Acc: 56.43%","Cov: 88.51%
Acc: 54.70%","Cov: 92.66%
Acc: 53.93%","Cov: 95.30%
Acc: 53.12%","Cov: 96.60%
Acc: 52.73%","Cov: 97.57%
Acc: 52.47%","Cov: 98.06%
Acc: 52.32%","Cov: 98.37%
Acc: 52.23%","Cov: 98.61%
Acc: 52.16%","Cov: 98.83%
Acc: 52.09%","Cov: 99.06%
Acc: 52.02%"
Class_12,"Cov: 32.00%
Acc: 79.75%","Cov: 54.88%
Acc: 70.75%","Cov: 76.80%
Acc: 64.41%","Cov: 86.27%
Acc: 62.46%","Cov: 90.60%
Acc: 61.65%","Cov: 93.73%
Acc: 61.06%","Cov: 95.78%
Acc: 60.81%","Cov: 97.12%
Acc: 60.56%","Cov: 97.63%
Acc: 60.39%","Cov: 98.15%
Acc: 60.20%","Cov: 98.54%
Acc: 60.10%","Cov: 98.75%
Acc: 60.05%","Cov: 99.10%
Acc: 59.99%"
