,Distance_0.1,Distance_0.25,Distance_0.5,Distance_0.75,Distance_1,Distance_1.25,Distance_1.5,Distance_1.75,Distance_2,Distance_2.25,Distance_2.5,Distance_2.75,Distance_3
Total,"Cov: 10.23%
Acc: 86.81%","Cov: 12.23%
Acc: 85.20%","Cov: 14.86%
Acc: 84.66%","Cov: 17.09%
Acc: 83.48%","Cov: 20.56%
Acc: 81.88%","Cov: 26.95%
Acc: 80.12%","Cov: 36.84%
Acc: 76.45%","Cov: 49.06%
Acc: 71.93%","Cov: 62.69%
Acc: 68.85%","Cov: 75.97%
Acc: 67.23%","Cov: 86.48%
Acc: 66.80%","Cov: 93.09%
Acc: 66.78%","Cov: 96.69%
Acc: 66.84%"
Class_0,"Cov: 4.82%
Acc: 62.27%","Cov: 6.73%
Acc: 66.15%","Cov: 9.79%
Acc: 65.95%","Cov: 12.51%
Acc: 64.10%","Cov: 15.95%
Acc: 62.51%","Cov: 20.95%
Acc: 61.64%","Cov: 29.58%
Acc: 59.54%","Cov: 42.06%
Acc: 57.52%","Cov: 57.42%
Acc: 57.28%","Cov: 72.64%
Acc: 57.50%","Cov: 85.88%
Acc: 58.28%","Cov: 93.57%
Acc: 58.96%","Cov: 97.54%
Acc: 59.26%"
Class_1,"Cov: 36.92%
Acc: 95.71%","Cov: 42.15%
Acc: 94.77%","Cov: 45.06%
Acc: 94.06%","Cov: 46.87%
Acc: 93.23%","Cov: 49.76%
Acc: 91.86%","Cov: 55.26%
Acc: 89.69%","Cov: 62.31%
Acc: 85.99%","Cov: 70.32%
Acc: 81.01%","Cov: 78.95%
Acc: 76.82%","Cov: 86.53%
Acc: 74.03%","Cov: 92.26%
Acc: 72.45%","Cov: 96.31%
Acc: 71.45%","Cov: 98.30%
Acc: 71.12%"
Class_2,"Cov: 4.95%
Acc: 60.37%","Cov: 6.29%
Acc: 59.37%","Cov: 7.89%
Acc: 61.18%","Cov: 10.40%
Acc: 58.61%","Cov: 14.48%
Acc: 55.47%","Cov: 20.17%
Acc: 55.31%","Cov: 28.18%
Acc: 53.04%","Cov: 39.26%
Acc: 50.45%","Cov: 52.57%
Acc: 49.23%","Cov: 66.15%
Acc: 49.23%","Cov: 78.98%
Acc: 50.46%","Cov: 88.50%
Acc: 51.81%","Cov: 94.25%
Acc: 52.82%"
Class_3,"Cov: 3.57%
Acc: 54.01%","Cov: 4.43%
Acc: 52.80%","Cov: 6.69%
Acc: 59.12%","Cov: 8.62%
Acc: 60.39%","Cov: 11.69%
Acc: 58.58%","Cov: 16.48%
Acc: 56.00%","Cov: 26.68%
Acc: 52.53%","Cov: 41.04%
Acc: 48.98%","Cov: 57.39%
Acc: 47.39%","Cov: 73.53%
Acc: 46.86%","Cov: 86.75%
Acc: 47.34%","Cov: 94.22%
Acc: 47.68%","Cov: 97.98%
Acc: 48.23%"
Class_4,"Cov: 9.68%
Acc: 62.06%","Cov: 12.58%
Acc: 63.32%","Cov: 17.05%
Acc: 64.64%","Cov: 21.58%
Acc: 63.08%","Cov: 28.51%
Acc: 60.88%","Cov: 36.51%
Acc: 59.70%","Cov: 44.80%
Acc: 57.54%","Cov: 55.37%
Acc: 55.59%","Cov: 68.71%
Acc: 54.02%","Cov: 82.29%
Acc: 53.91%","Cov: 90.51%
Acc: 53.88%","Cov: 95.00%
Acc: 54.32%","Cov: 97.48%
Acc: 54.58%"
Class_5,"Cov: 4.15%
Acc: 73.06%","Cov: 5.54%
Acc: 70.75%","Cov: 7.28%
Acc: 71.18%","Cov: 8.59%
Acc: 70.19%","Cov: 10.47%
Acc: 68.75%","Cov: 15.94%
Acc: 64.13%","Cov: 26.45%
Acc: 59.69%","Cov: 40.63%
Acc: 58.11%","Cov: 56.96%
Acc: 57.91%","Cov: 73.35%
Acc: 58.64%","Cov: 85.11%
Acc: 59.72%","Cov: 92.38%
Acc: 60.25%","Cov: 96.10%
Acc: 60.55%"
Class_6,"Cov: 27.59%
Acc: 98.99%","Cov: 30.56%
Acc: 98.51%","Cov: 34.15%
Acc: 98.41%","Cov: 37.84%
Acc: 98.38%","Cov: 44.58%
Acc: 98.31%","Cov: 56.85%
Acc: 97.85%","Cov: 71.17%
Acc: 97.15%","Cov: 79.85%
Acc: 95.74%","Cov: 85.99%
Acc: 94.44%","Cov: 90.01%
Acc: 93.74%","Cov: 93.42%
Acc: 93.49%","Cov: 96.22%
Acc: 93.46%","Cov: 98.05%
Acc: 93.40%"
Class_7,"Cov: 3.27%
Acc: 54.86%","Cov: 4.07%
Acc: 51.57%","Cov: 5.58%
Acc: 57.83%","Cov: 7.07%
Acc: 62.11%","Cov: 9.73%
Acc: 64.31%","Cov: 14.67%
Acc: 65.28%","Cov: 24.04%
Acc: 63.84%","Cov: 36.81%
Acc: 61.61%","Cov: 51.55%
Acc: 60.20%","Cov: 67.91%
Acc: 60.86%","Cov: 81.58%
Acc: 61.79%","Cov: 89.77%
Acc: 62.16%","Cov: 94.37%
Acc: 62.27%"
Class_8,"Cov: 4.97%
Acc: 57.16%","Cov: 6.54%
Acc: 56.30%","Cov: 9.40%
Acc: 63.05%","Cov: 12.04%
Acc: 62.55%","Cov: 14.82%
Acc: 61.72%","Cov: 20.84%
Acc: 58.84%","Cov: 30.32%
Acc: 55.97%","Cov: 45.21%
Acc: 53.67%","Cov: 62.35%
Acc: 51.98%","Cov: 77.57%
Acc: 50.87%","Cov: 87.13%
Acc: 50.84%","Cov: 92.84%
Acc: 51.07%","Cov: 96.04%
Acc: 51.24%"
