,Similarity_0.9,Similarity_0.91,Similarity_0.92,Similarity_0.93,Similarity_0.94,Similarity_0.95,Similarity_0.96,Similarity_0.97,Similarity_0.98,Similarity_0.99,Similarity_0.991,Similarity_0.992,Similarity_0.993,Similarity_0.994,Similarity_0.995,Similarity_0.996,Similarity_0.997,Similarity_0.998,Similarity_0.999
Total,"Cov: 99.79%
Acc: 77.78%","Cov: 99.11%
Acc: 78.13%","Cov: 97.09%
Acc: 79.11%","Cov: 92.77%
Acc: 80.96%","Cov: 85.73%
Acc: 83.36%","Cov: 76.72%
Acc: 85.73%","Cov: 67.10%
Acc: 87.21%","Cov: 56.86%
Acc: 87.84%","Cov: 46.57%
Acc: 87.87%","Cov: 36.91%
Acc: 87.32%","Cov: 36.00%
Acc: 87.26%","Cov: 35.11%
Acc: 87.19%","Cov: 34.17%
Acc: 87.07%","Cov: 33.26%
Acc: 87.03%","Cov: 32.28%
Acc: 86.94%","Cov: 31.10%
Acc: 86.84%","Cov: 29.80%
Acc: 86.73%","Cov: 28.13%
Acc: 86.59%","Cov: 25.44%
Acc: 86.36%"
Class_0,"Cov: 99.72%
Acc: 73.32%","Cov: 99.08%
Acc: 73.70%","Cov: 97.25%
Acc: 74.53%","Cov: 93.51%
Acc: 75.85%","Cov: 86.00%
Acc: 77.63%","Cov: 74.39%
Acc: 79.29%","Cov: 61.08%
Acc: 79.89%","Cov: 49.65%
Acc: 80.06%","Cov: 40.52%
Acc: 80.37%","Cov: 32.37%
Acc: 79.65%","Cov: 31.39%
Acc: 79.58%","Cov: 30.44%
Acc: 79.61%","Cov: 29.53%
Acc: 79.49%","Cov: 28.63%
Acc: 79.56%","Cov: 27.67%
Acc: 79.39%","Cov: 26.63%
Acc: 79.70%","Cov: 25.32%
Acc: 79.37%","Cov: 23.69%
Acc: 79.25%","Cov: 20.98%
Acc: 78.85%"
Class_1,"Cov: 99.73%
Acc: 79.25%","Cov: 99.02%
Acc: 79.66%","Cov: 96.97%
Acc: 80.77%","Cov: 93.25%
Acc: 83.00%","Cov: 88.19%
Acc: 85.99%","Cov: 82.63%
Acc: 88.58%","Cov: 77.70%
Acc: 90.48%","Cov: 72.44%
Acc: 91.85%","Cov: 67.33%
Acc: 92.80%","Cov: 62.23%
Acc: 93.33%","Cov: 61.62%
Acc: 93.39%","Cov: 61.07%
Acc: 93.46%","Cov: 60.60%
Acc: 93.48%","Cov: 59.94%
Acc: 93.53%","Cov: 59.15%
Acc: 93.55%","Cov: 58.38%
Acc: 93.67%","Cov: 57.52%
Acc: 93.69%","Cov: 55.49%
Acc: 93.96%","Cov: 53.47%
Acc: 94.31%"
Class_2,"Cov: 99.77%
Acc: 66.81%","Cov: 98.66%
Acc: 67.34%","Cov: 95.91%
Acc: 68.56%","Cov: 89.90%
Acc: 71.45%","Cov: 82.06%
Acc: 74.90%","Cov: 71.59%
Acc: 78.90%","Cov: 62.04%
Acc: 81.56%","Cov: 52.81%
Acc: 82.14%","Cov: 43.16%
Acc: 80.93%","Cov: 30.78%
Acc: 77.86%","Cov: 29.58%
Acc: 77.28%","Cov: 28.12%
Acc: 76.71%","Cov: 27.01%
Acc: 76.00%","Cov: 25.96%
Acc: 75.58%","Cov: 25.10%
Acc: 75.14%","Cov: 24.01%
Acc: 74.47%","Cov: 22.78%
Acc: 74.09%","Cov: 21.23%
Acc: 73.63%","Cov: 19.06%
Acc: 72.83%"
Class_3,"Cov: 99.68%
Acc: 63.32%","Cov: 98.72%
Acc: 63.74%","Cov: 95.35%
Acc: 64.76%","Cov: 87.41%
Acc: 67.73%","Cov: 76.53%
Acc: 70.96%","Cov: 63.77%
Acc: 74.36%","Cov: 52.29%
Acc: 75.51%","Cov: 41.38%
Acc: 76.58%","Cov: 33.12%
Acc: 77.44%","Cov: 26.40%
Acc: 77.39%","Cov: 25.92%
Acc: 77.47%","Cov: 25.25%
Acc: 77.29%","Cov: 24.64%
Acc: 77.50%","Cov: 24.05%
Acc: 77.28%","Cov: 23.25%
Acc: 77.16%","Cov: 21.92%
Acc: 76.96%","Cov: 20.83%
Acc: 76.90%","Cov: 19.13%
Acc: 76.37%","Cov: 16.10%
Acc: 74.46%"
Class_4,"Cov: 99.90%
Acc: 65.31%","Cov: 99.24%
Acc: 65.56%","Cov: 97.85%
Acc: 66.06%","Cov: 94.08%
Acc: 67.53%","Cov: 87.97%
Acc: 69.02%","Cov: 79.01%
Acc: 70.38%","Cov: 70.32%
Acc: 70.79%","Cov: 62.17%
Acc: 70.57%","Cov: 53.97%
Acc: 68.58%","Cov: 46.28%
Acc: 66.44%","Cov: 45.64%
Acc: 66.26%","Cov: 44.93%
Acc: 66.16%","Cov: 43.92%
Acc: 66.07%","Cov: 42.43%
Acc: 65.44%","Cov: 41.30%
Acc: 65.05%","Cov: 40.09%
Acc: 64.77%","Cov: 39.25%
Acc: 64.54%","Cov: 37.13%
Acc: 63.71%","Cov: 34.41%
Acc: 62.41%"
Class_5,"Cov: 99.89%
Acc: 74.93%","Cov: 99.35%
Acc: 75.16%","Cov: 97.26%
Acc: 76.19%","Cov: 93.22%
Acc: 77.85%","Cov: 86.26%
Acc: 80.37%","Cov: 76.56%
Acc: 82.97%","Cov: 66.24%
Acc: 84.12%","Cov: 54.14%
Acc: 84.99%","Cov: 41.03%
Acc: 84.67%","Cov: 28.25%
Acc: 83.03%","Cov: 27.28%
Acc: 82.95%","Cov: 26.27%
Acc: 82.68%","Cov: 25.38%
Acc: 82.32%","Cov: 24.48%
Acc: 82.28%","Cov: 23.80%
Acc: 82.18%","Cov: 22.73%
Acc: 82.14%","Cov: 21.49%
Acc: 82.23%","Cov: 20.11%
Acc: 82.22%","Cov: 17.84%
Acc: 81.87%"
Class_6,"Cov: 99.92%
Acc: 95.27%","Cov: 99.73%
Acc: 95.42%","Cov: 99.22%
Acc: 95.77%","Cov: 98.29%
Acc: 96.31%","Cov: 96.98%
Acc: 96.95%","Cov: 95.14%
Acc: 97.51%","Cov: 91.75%
Acc: 98.01%","Cov: 85.13%
Acc: 98.19%","Cov: 76.54%
Acc: 98.25%","Cov: 66.05%
Acc: 98.25%","Cov: 64.71%
Acc: 98.23%","Cov: 63.38%
Acc: 98.25%","Cov: 61.67%
Acc: 98.22%","Cov: 60.22%
Acc: 98.23%","Cov: 58.45%
Acc: 98.22%","Cov: 56.32%
Acc: 98.21%","Cov: 54.18%
Acc: 98.19%","Cov: 51.76%
Acc: 98.21%","Cov: 47.69%
Acc: 98.36%"
Class_7,"Cov: 99.78%
Acc: 75.29%","Cov: 99.21%
Acc: 75.51%","Cov: 97.05%
Acc: 76.34%","Cov: 92.31%
Acc: 77.88%","Cov: 84.07%
Acc: 79.98%","Cov: 72.37%
Acc: 82.35%","Cov: 60.24%
Acc: 83.44%","Cov: 48.78%
Acc: 83.75%","Cov: 36.52%
Acc: 82.55%","Cov: 25.43%
Acc: 79.33%","Cov: 24.40%
Acc: 79.02%","Cov: 23.48%
Acc: 78.75%","Cov: 22.52%
Acc: 78.28%","Cov: 21.73%
Acc: 77.83%","Cov: 20.62%
Acc: 77.21%","Cov: 19.41%
Acc: 76.60%","Cov: 18.00%
Acc: 75.82%","Cov: 16.15%
Acc: 74.08%","Cov: 13.83%
Acc: 72.60%"
Class_8,"Cov: 99.65%
Acc: 64.69%","Cov: 98.51%
Acc: 65.14%","Cov: 95.61%
Acc: 66.43%","Cov: 89.57%
Acc: 68.68%","Cov: 80.77%
Acc: 72.04%","Cov: 70.31%
Acc: 75.34%","Cov: 61.11%
Acc: 78.06%","Cov: 53.13%
Acc: 79.85%","Cov: 44.49%
Acc: 80.19%","Cov: 36.18%
Acc: 79.19%","Cov: 35.35%
Acc: 78.84%","Cov: 34.65%
Acc: 78.77%","Cov: 33.68%
Acc: 78.58%","Cov: 32.86%
Acc: 78.21%","Cov: 31.93%
Acc: 78.36%","Cov: 30.79%
Acc: 78.52%","Cov: 29.56%
Acc: 78.11%","Cov: 26.89%
Acc: 77.66%","Cov: 23.21%
Acc: 76.22%"
